일,수창동,지산동,서호동,이현동,대명동,노원동,신암동,태전동,만촌동,호림동,현풍읍,시지동,진천동,평리동,이곡동
1,28,-,25,26,30,28,23,30,25,25,21,-,-,38,28
2,40,-,39,41,45,43,35,42,35,42,31,-,-,56,48
3,67,-,53,69,63,66,53,57,58,43,36,-,-,74,63
4,54,-,28,51,54,45,41,45,43,37,27,-,-,60,51
5,10,-,-,-,14,18,10,14,8,13,8,-,-,16,24
6,25,-,32,27,29,32,25,28,22,28,24,-,-,38,41
7,29,-,33,29,30,34,23,29,21,28,24,-,-,44,37
8,22,-,20,-,17,22,17,17,13,13,11,-,-,28,20
9,40,-,34,42,45,46,26,38,23,32,34,-,-,55,48
10,43,-,47,48,45,52,40,46,37,35,32,-,-,59,50
11,64,-,67,66,70,64,59,68,59,49,42,-,-,81,65
12,73,-,70,78,75,78,61,70,62,54,50,-,-,87,81
13,80,-,59,78,77,73,58,62,56,45,33,-,-,86,65
14,45,-,34,51,43,47,35,33,33,29,22,-,-,55,42
15,33,-,25,37,34,44,25,29,23,25,20,-,-,40,34
16,23,-,26,21,22,28,19,24,16,23,16,-,-,29,35
17,31,-,36,34,34,30,24,30,27,28,24,-,-,43,39
18,40,-,46,46,43,39,35,37,39,30,25,-,-,51,41
19,22,-,18,26,22,26,21,22,17,16,12,-,-,26,20
20,20,-,26,21,22,26,19,21,17,24,17,-,-,26,32
21,8,-,11,15,-,14,8,12,7,11,6,-,-,15,9
22,31,-,29,33,29,32,24,29,24,23,16,-,-,35,33
23,65,-,52,62,57,57,44,51,50,36,41,-,-,71,52
24,91,-,81,97,90,89,82,83,81,68,54,-,-,99,82
25,84,-,72,80,79,74,67,71,74,56,45,-,-,89,71
26,59,-,56,64,60,62,52,54,52,45,38,-,-,68,65
27,81,-,70,93,78,80,68,67,69,64,50,-,-,96,89
28,62,-,57,71,64,66,52,54,56,55,42,-,-,80,71
29,52,-,53,62,62,59,51,49,52,52,39,-,-,67,63
30,33,-,37,37,39,40,35,40,36,37,38,-,-,42,48
31,50,-,56,63,55,60,52,53,55,47,42,-,-,60,66
