상가업소번호,상호명,상권업종분류명,도로명주소,lat,lng
4606148,브라운스톤어린이집,유아교육,대구광역시 북구 내곡로 89,35.9026101,128.5148669
8076001,강림어린이집,유아교육,대구광역시 달성군 옥포면 돌미로 51,35.7896321,128.463792
10361846,꼬마시티어린이집,유아교육,대구광역시 동구 동북로 500,35.88006439999999,128.6394701
10382256,꼬마대통령어린이집,유아교육,대구광역시 달성군 옥포면 비슬로447길 11,35.7908068,128.4654222
10398306,퀸즈베이비어린이집,유아교육,대구광역시 서구 평리로 236,35.860811,128.5489633
10407515,하모니어린이집,유아교육,대구광역시 달서구 송현로7안길 23-22,35.8187504,128.5490477
10408767,대현어린이집,유아교육,대구광역시 북구 대현남로2길 40-7,35.8790351,128.6053614
10418419,해달별어린이집,유아교육,대구광역시 남구 대명서로 47-2,35.8307903,128.5603769
10425404,위즈키즈어린이집,유아교육,대구광역시 서구 달서로5길 29,35.8643058,128.5684711
10504003,백설어린이집,유아교육,대구광역시 남구 대명남로 10-2,35.8332752,128.5598144
10571821,아이린어린이집,유아교육,대구광역시 달서구 월배로33길 115,35.82012539999999,128.5269824
10606610,몬테소리어린이집,유아교육,대구광역시 북구 학정동로 10,35.9447972,128.5681614
10643097,태현어린이집,유아교육,대구광역시 북구 태전로13길 46-2,35.9219506,128.540687
10863398,월성무지개어린이집,유아교육,대구광역시 달서구 학산로7길 39,35.8326319,128.530545
10898531,대우어린이집,유아교육,대구광역시 북구 동북로31길 30,35.9004363,128.6111596
10902428,드림어린이집,유아교육,대구광역시 달서구 장기로 242,35.8453483,128.5344865
10934063,생각이크는어린이집,유아교육,대구광역시 달서구 상화북로5길 18,35.8113557,128.5287923
10959249,토마토어린이집,유아교육,대구광역시 달서구 성서동로65길 24,35.8502952,128.514559
10979819,아이엠어린이집,유아교육,대구광역시 달성군 다사읍 다사로 103-8,35.8694778,128.4568789
10986011,별님어린이집,유아교육,대구광역시 동구 동호로 88,35.8657254,128.7270989
11751861,더샵키즈어린이집,유아교육,대구광역시 동구 팔공로53길 40,35.9257609,128.6379123
11760124,아이블럭&커피,유아교육,대구광역시 수성구 수성로25길 43,35.837607,128.6092826
11875446,블럭아이,유아교육,대구광역시 달서구 조암남로 41,35.8212782,128.5286268
11891936,블럭아이월암교육원,유아교육,대구광역시 달서구 조암로6길 20,35.8273876,128.5265302
11955484,하나리움어린이집,유아교육,대구광역시 달성군 유가면 테크노북로 164,35.6960206,128.4623552
12046512,동막어린이집,유아교육,대구광역시 중구 국채보상로149길 26-9,35.8698998,128.6118707
12223227,줌앤키즈,유아교육,대구광역시 동구 신암북로11길 56,35.88982010000001,128.6211021
12472891,새론어린이집,유아교육,대구광역시 동구 과학로 45,35.8830468,128.6693546
12566534,도동어린이집,유아교육,대구광역시 동구 팔공로26길 46,35.9098887,128.6457049
12572615,계성어린이집,유아교육,대구광역시 수성구 범어로 157,35.8634764,128.6352643
12681251,대구산업정보대학부설리오바어린이집,유아교육,대구광역시 수성구 달구벌대로528길 15,35.8540385,128.6481314
12681272,아이사랑어린이집,유아교육,대구광역시 달서구 야외음악당로47길 142,35.8588107,128.5636288
12681281,금빛어린이집,유아교육,대구광역시 달서구 대명천로10길 19,35.8393424,128.5544718
12681283,사랑마을어린이집,유아교육,대구광역시 달서구 진천로10길 12,35.8130551,128.5253998
12681426,예영어린이집,유아교육,대구광역시 달서구 진천로10길 58,35.8115411,128.5263791
12681503,상원어린이집,유아교육,대구광역시 달서구 조암로 89-23,35.8225379,128.5217039
12681528,하늘꿈어린이집,유아교육,대구광역시 달서구 조암로14안길 18-9,35.8243242,128.5204805
12681796,월성이편한어린이집,유아교육,대구광역시 달서구 조암남로 10,35.8225494,128.5266606
15527967,뉴샛별어린이집,유아교육,대구광역시 북구 연암로12길 3,35.8914432,128.5971373
