사업장명,정제도로명주소
중리롯데캐슬 노인회,대구광역시 서구 국채보상로34길 12
비산한신휴플러스,대구광역시 서구 달서로17길 17
비산우방아파트경로당,대구광역시 서구 통학로24길 60
새동네경로당,대구광역시 서구 북비산로31길 11-28
평리청구아파트경로당,대구광역시 서구 서대구로 77
금류타운경로당,대구광역시 서구 원대로13길 2
거창경로당,대구광역시 서구 북비산로61길 43-5
비산우방경로당,대구광역시 서구 통학로24길 60
복지경로당,대구광역시 서구 서대구로41길 10
동흔경로당,대구광역시 서구 국채보상로76길 27-1
일구경로당,대구광역시 서구 평리로85길 15
성우경로당,대구광역시 서구 서대구로63안길 30-22
평리2동경로당,대구광역시 서구 국채보상로60길 35-9
평광경로당,대구광역시 서구 국채보상로50길 42-37
평리6동경로당,대구광역시 서구 당산로86길 5-8
상리1동경로당,대구광역시 서구 새방로27길 4
원대3가제1경로당,대구광역시 서구 고성로21길 6
원대3가제2경로당,대구광역시 서구 팔달로46길 4-2
비룡경로당,대구광역시 서구 북비산로75길 2-3
비산6동경로당,대구광역시 서구 문화로69길 26-16
비산6동제2경로당,대구광역시 서구 달서로27길 13-1
내우경로당,대구광역시 서구 당산로51길 28-5
코오롱경로당,대구광역시 서구 당산로 260
비산5동제2경로당,대구광역시 서구 달서천로61길 2-6
평안경로당,대구광역시 서구 서대구로42길 47-15
서안경로당,대구광역시 서구 북비산로 229-4
장수경로당,대구광역시 서구 평리로73길 11-15
도기경로당,대구광역시 서구 국채보상로39길 9-2
중리일송경로당,대구광역시 서구 당산로53길 110-4
원대1.2가제2경로당,대구광역시 서구 달서천로86길 6-10
비산7동제2경로당,대구광역시 서구 서대구로 346-2
중리상록,대구광역시 서구 국채보상로36길 16-2
신도경로당,대구광역시 서구 문화로 313-14
평산경로당,대구광역시 서구 통학로40길 37-2
서부경로당,대구광역시 서구 국채보상로 336-6
평원경로당,대구광역시 서구 국채보상로66길 38-8
산격2차청구아파트경로당,대구광역시 북구 대구체육관로4길 2
칠곡건영경로당,대구광역시 북구 구암로32길 15
칠곡부영1단지아파트경로당,대구광역시 북구 학정동로 7
동서변그린빌아파트경로당,대구광역시 북구 동변로 55
침산건영하이츠경로당,대구광역시 북구 침산로 158
태전3차두성타운경로당,대구광역시 북구 태전로13길 22
대백인터빌아파트경로당,대구광역시 북구 작원길 25
청구장미마을경로당,대구광역시 북구 칠곡중앙대로 45
동호경로당,대구광역시 북구 동호길 72-13
칠곡3차보성경로당,대구광역시 북구 칠곡중앙대로126길 7-12
태전한라APT경로당,대구광역시 북구 태전로7길 13
한일APT경로당,대구광역시 북구 칠곡중앙대로53길 32
복현보성타운경로당,대구광역시 북구 검단로 64
대현1동제2경로당,대구광역시 북구 대현로서15길 50-7
산격거평아파트경로당,대구광역시 북구 유통단지로3길 7
복일경로당,대구광역시 북구 경진로12길 13
태전두전경로당,대구광역시 북구 칠곡중앙대로77길 5-3
동화타운경로당,대구광역시 북구 침산남로7길 50-21
화성1차아파트경로당,대구광역시 북구 침산남로37길 5
칠곡그린빌4단지,대구광역시 북구 구암서로 22
화성2차아파트경로당,대구광역시 북구 침산남로37길 24
침산쌍용A경로당,대구광역시 북구 침산로21길 36
복현건영경로당,대구광역시 북구 검단로 28
신구암경로회,대구광역시 북구 태암로18길 17
두산위브2001경로당,대구광역시 북구 매천로2길 19
칠곡우방타운경로당,대구광역시 북구 칠곡중앙대로115길 24
동아1차무지개A경로당,대구광역시 북구 침산로21길 24
서당골경로당,대구광역시 북구 연암공원로 60
동아2차무지개경로당,대구광역시 북구 침산로21길 10
화성3차경로당,대구광역시 북구 대천로 101
그린빌1단지경로당,대구광역시 북구 구리로 250
동서영남타운경로당,대구광역시 북구 구암로 180
미래A경로당,대구광역시 북구 팔거천동로 52
청구타운경로당,대구광역시 북구 학정로 271
칠곡금빛타운,대구광역시 북구 팔거천동로 70
삼우그린타운경로당,대구광역시 북구 매천로8길 35
칠곡2차보성경로당,대구광역시 북구 팔거천동로 104
태전3차우방아파트경로당,대구광역시 북구 학정로 126
대현제1경로당,대구광역시 북구 대현로17길 7
칠곡2차영남경로당,대구광역시 북구 팔거천동로24길 40
관음타운경로당,대구광역시 북구 영송로 63
칠곡2차한라타운경로당,대구광역시 북구 구암로 170
도남2동경로당,대구광역시 북구 도남길 148-15
관음경로당,대구광역시 북구 관음동로17길 23
