2015 년 행정구역 배출량,,,,,,,,,,,,,,
,,,,,,조사년도,오염물질,,,,,,,
,,,,,,2015년,2015년,2015년,2015년,2015년,2015년,2015년,2015년,"2015년 (단위:kg , 비산먼지 포함)"
시도,시군구,배출원대분류,배출원중분류,배출원소분류,연료대분류,CO,NOx,SOx,TSP,PM10,PM2.5,VOC,NH3,BC
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,B-A유,981,"9,797","40,785",137,126,120,110,157,1
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,B-B유,29,119,205,6,5,2,9,5,
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,B-C유,"6,268","69,363","301,648","3,048","2,795","1,436","2,016","1,003",14
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,경유,"4,860","19,439",350,138,126,81,243,778,8
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,등유,633,"2,279",11,5,5,4,32,101,
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,LPG,"1,020","4,948",22,16,16,16,268,58,6
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,기타,LNG,"31,253","180,683",488,147,147,147,"8,790","2,491",56
서울특별시,종로구,비산업 연소,상업 및 공공기관시설,가스히트펌프,LNG,"382,749","285,051",,,,,,,
서울특별시,종로구,비산업 연소,주거용시설,기타,무연탄,"37,549","6,798","12,011",700,537,280,47,,5
서울특별시,종로구,비산업 연소,주거용시설,기타,등유,193,696,3,15,14,13,10,31,1
서울특별시,종로구,비산업 연소,주거용시설,기타,LPG,19,91,,3,3,3,5,1,1
서울특별시,종로구,비산업 연소,주거용시설,기타,LNG,"33,808","195,452",528,"1,585","1,585","1,585","9,508","2,694",609
서울특별시,종로구,비산업 연소,농업.축산.수산업시설,기타,경유,35,139,1,10,9,6,2,6,1
서울특별시,종로구,제조업 연소,기타,광업,LNG,1,2,,,,,,,
서울특별시,종로구,제조업 연소,기타,"음,식료품 제조업",LNG,15,41,,,,,2,1,
서울특별시,종로구,제조업 연소,기타,"섬유제품제조업(봉제,의복 제외)",LNG,97,266,1,,,,13,4,
서울특별시,종로구,제조업 연소,기타,봉제의복 및 모피제품 제조업,LNG,329,906,2,1,1,1,44,12,
서울특별시,종로구,제조업 연소,기타,"가죽,가방 및 신발 제조업",LNG,17,46,,,,,2,1,
서울특별시,종로구,제조업 연소,기타,목재 및 나무제품 제조업(가구 제외),LNG,3,8,,,,,,,
서울특별시,종로구,제조업 연소,기타,"펄프, 종이 및 종이제품 제조업",LNG,7,18,,,,,1,,
서울특별시,종로구,제조업 연소,기타,"출판, 인쇄 및 기록매체 복제업",LNG,49,134,,,,,7,2,
서울특별시,종로구,제조업 연소,기타,화합물 및 화학제품 제조업,LNG,8,21,,,,,1,,
서울특별시,종로구,제조업 연소,기타,고무 및 플라스틱 제품 제조업,LNG,5,15,,,,,1,,
