사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
수성실버대학,20161102,운영중,,,,,,,,,대구광역시 수성구 이천동,,
행복대학,20131203,운영중,,,,,,200,,5,대구광역시 중구 남산동,,
온사랑행복아카데미,20140313,운영중,,,,,,50,,5,대구광역시 중구 포정동 중앙상가 313호,,
달성노인대학,20060807,운영중,,,,,,60,0,2,대구광역시 중구 달성동,,
대한노인회중구지회부설노인학교,20000131,운영중,,,,,,50,0,1,대구광역시 중구 태평로3가,,
중앙노인독서대학,19901203,운영중,,,,,,234,0,4,대구광역시 중구 동인동2가,,
서문로교회경로대학,19950420,운영중,,,,,,100,0,8,대구광역시 중구 서내동 8-1번지,,
운경건강대학,19950807,운영중,,,,,,220,0,3,대구광역시 중구 수동 18번지,,
(사)대한노인회 대구동구지회 팔공어르신대학,19811117,운영중,,,,,,275,,4,대구광역시 동구 신평동,,
청은아카데미,20110530,운영중,,,,,,700,,,대구광역시 동구 신천동 283-1번지,,
동구노인대학,20010212,운영중,,,,,,500,,,대구광역시 동구 불로동 948번지,,
은천노인대학(노인교실),20030311,운영중,,,,,,500,0,0,대구광역시 동구 신암동 210-9번지,,
성동노인대학,20050701,운영중,,,,,,500,0,40,대구광역시 동구 신암동 257-1번지,,
불광노인대학,20180410,운영중,,,,,,,,,대구광역시 수성구 욱수동,,
대덕평생대학,20020302,운영중,,,,,,0,,,대구광역시 남구 대명동,,
대봉건강대학,20060929,운영중,,,,,,150,0,16,대구광역시 남구 이천동 311-1번지,,
성명실버해피대학,20071005,운영중,,,,,,150,0,30,대구광역시 남구 대명동,,
대덕평생대학,20020205,운영중,,,,,,100,0,0,대구광역시 남구 대명동 439번지,,
관문노인대학,20060213,운영중,,,,,,300,1,10,대구광역시 남구 대명동 2768-17번지,,
남구노인대학,19821005,운영중,,,,,,50,0,0,대구광역시 남구 대명동,,
검단노인대학,20081208,운영중,,,,,,100,2,6,대구광역시 북구 검단동 1146번지,,
윤일천주교회부설 윤일노인대학,19981226,운영중,,,,,,80,,,대구광역시 서구 평리동 881번지,,
평리천주교회 부설 아름대학,20141215,운영중,,,,,,80,,,대구광역시 서구 평리동,,
사)평산노인대학,20080811,운영중,,,,,,116,0,7,대구광역시 서구 비산동 485-2번지,,
대구의료원부설노인대학,20020415,운영중,,,,,,330,0,8,대구광역시 서구 중리동 1162번지,,
평리교회노인학교,20060322,운영중,,,,,,60,1,6,대구광역시 서구 평리동 742-88번지,,
윤일천주교회부설윤일노인대학,20060322,운영중,,,,,,60,1,6,대구광역시 서구 평리동 881번지,,
서부노인평생독서대학,19980723,운영중,,,,,,70,0,3,대구광역시 서구 평리동 1230-1번지,,
달서구노인복지대학,20050509,운영중,,,,,,100,0,0,대구광역시 달서구 본동 804-2번지,,
가야아카데미,20040129,운영중,,,,,,150,3,4,대구광역시 달서구 송현동 189번지,,
달구벌 실버스쿨,20040227,운영중,,,,,,100,0,8,대구광역시 달서구 신당동 1844번지,,
달서구노인문화대학,19991117,운영중,,,,,,100,0,0,대구광역시 달서구 용산동 505-4번지 (선원로 203),,
수성사랑노인대학,19901206,운영중,,,,,,0,,,대구광역시 수성구 범어동,,
시니어아카데미,20030404,운영중,,,,,,0,0,3,대구광역시 수성구 욱수동 48-1번지,,
생생어르신대학,20061113,운영중,,,,,,200,0,191,대구광역시 수성구 시지동 253번지,,
대한노인회 달성군지회부설 달성군노인교실,20170515,운영중,,,,,,50,,2,대구광역시 달성군 옥포면 기세리,,
대한노인회 달서구지회 부설 노인대학,20130326,운영중,,,,,,270,,5,대구광역시 달서구 본동,,

