사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
북1리 경로당,19851201,운영중,,,,,,74,,,대구광역시 달성군 논공읍 북리,,
비원노인복지관,20180622,운영중,,,,,,500,7,7,대구광역시 서구 비산동,,
달성군노인복지관,20090731,운영중,,,,,,0,8,9,대구광역시 달성군 옥포면 기세리 264-1번지,,
범물노인복지관(범물실버복지센터),20140530,운영중,,,,,,500,7,9,대구광역시 수성구 범물동,,
대구광역시노인종합복지관,19950609,운영중,,,,,,500,15,17,대구광역시 수성구 황금동 478-4번지,,
대구광역시 노인종합복지관,19950511,운영중,,,,,,0,9,19,대구광역시 수성구 황금동 대구광역시 노인종합복지관,,
고산노인복지관,20151216,운영중,,,,,,0,,8,대구광역시 수성구 신매동,,
대구혁신LH4단지경로당,20180416,운영중,,,,,,21,,,대구광역시 동구 각산동 대구혁신 LH4단지,,
중구노인복지관,20180102,운영중,,,,,,,,,대구광역시 중구 태평로3가,,
내당노인복지관,20171228,운영중,,,,,,600,,7,대구광역시 서구 내당동,,
대덕노인종합복지관,20001204,운영중,,,,,,500,5,7,대구광역시 남구 대명동 439번지,,
서구노인복지관,20070429,운영중,,,,,,600,,9,대구광역시 서구 평리동,,
강동어르신행복센터,20130725,운영중,,,,,,1500,,9,대구광역시 동구 신기동,,
팔공노인복지관,20080825,운영중,,,,,,0,,,대구광역시 동구 신암동 132-2번지,,
동구노인종합복지관,19991026,운영중,,,,,,0,10,10,대구광역시 동구 불로동 948번지,,
달서구노인종합복지관,20050509,운영중,,,,,,0,17,11,대구광역시 달서구 본동 804-2번지,,
강북노인복지관,20001201,운영중,,,,,,0,,1,대구광역시 북구 관음동,,
대불노인복지관,20030926,운영중,,,,,,0,,,대구광역시 북구 복현동,,
북구노인복지관,19980311,운영중,,,,,,0,,,대구광역시 북구 침산동,,
함지노인복지관,20110329,운영중,,,,,,0,,,대구광역시 북구 구암동,,
성서노인종합복지관,20150331,운영중,,,,,,0,,13,대구광역시 달서구 용산동 505-4번지,,

