사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,복지시설종류,복지시설종류명,정제지번주소,정제도로명주소,정제우편번호
서변실버요양원,20160601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 서변동,,
효사랑요양원1,20160901,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
효사랑요양원2,20160901,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
들안길노인요양센터,20170403,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 상동,,
간호박사요양센터,20150601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동,,
간호박사요양센터1,20150601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동,,
간호박사요양센터2,20150601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동,,
간호박사요양센터3,20150601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 내당동,,
크로바노인복지센터,20150803,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
동대구노인복지센터,20150911,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동,,
나비복현요양센터,20150911,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동 복현블루밍브라운스톤 명문세가아파트 112동동 404호호,,
한우리요양원1,20160601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동 삼익빌딩,,
한우리요양원2,20160601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 서구 중리동 삼익빌딩,,
해뜨는요양원4,20150828,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
해뜨는요양원3,20150828,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
효다함요양센터,20150916,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동,,
크로바요양복지관,20160501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동,,
효다함요양센터2,20160718,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 봉덕동,,
율하요양원,20150515,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 303호호,,
궁전노인복지센터,20150601,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 신암동,,
대명효요양센터,20160713,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
대명요양센터,20160713,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 남구 대명동,,
금강전원실버요양원,20161101,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 금강동,,
율하요양원,20180501,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 동구 율하동 느티타워 303호,,
내부모요양복지센터 2관,20130620,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 지산동 신흥빌딩,,
큰마음노인공동생활가정,20140629,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 지산동,,
초심노인요양공동생활가정,20140721,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 범물동,,
초심노인요양공동생활가정2,20150302,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 범물동 덕암빌딩,,
수성요양복지센터,20120703,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 만촌동,,
큰마음노인요양센터,20120731,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 지산동 1276-14번지 용지빌딩 8층,,
어르신노인요양시설,20121130,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 두산동 불교한방병원 4층 (두산동 745-6번지),,
아름다운한방요양원,20101228,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 황금동 황금빌딩,,
수성노인복지센터,20110119,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 만촌동 424-15번지,,
다사랑실버케어홈,20110316,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 범어동 131-3번지,,
화성노인요양공동생활가정(3층),20110427,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 상동 576-6번지,,
화성노인요양공동생활가정(4층),20110427,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 상동 576-6번지 4층,,
선우실버홈,20110513,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 만촌동 424-15번지,,
삼보요양원,20110524,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 범어동 산 63-121번지 힐튼빌라 101호,,
내부모요양복지센터,20110607,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 지산동 1211번지 신층빌딜 2층,,
금빛노인복지센터,20091020,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 상동 22-8번지,,
에덴한방요양원,20100301,휴업 등,,20160223,20170222,,,010202,노인요양공동생활가정,대구광역시 수성구 파동 651번지,,
미스바요양센터,20100402,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 만촌동 414-2번지 구세빌딩 2층,,
에덴요양원,20090514,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 파동 651번지,,
에덴한방요양센터,20090514,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 수성구 파동 651번지,,
대한실버타운,20180228,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍 죽곡리 우리빌딩,,
대한노인복지센터,20180228,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 달성군 다사읍 죽곡리 우리빌딩,,
스마일요양원,20180301,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 읍내동 405호,,
+청춘주간보호센터,20180430,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 고성동3가,,
장원노인복지센터,20180322,운영중,,,,,,010202,노인요양공동생활가정,대구광역시 북구 복현동,,
