사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
천사의집,20030412,운영중,,,,,,6,1,2,대구광역시 중구 남산동,,
미문의 집,20000527,운영중,,,,,,5,2,2,대구광역시 중구 남산동,,
햇살의집,20010621,운영중,,,,,,4,1,1,대구광역시 중구 남산동,,
밀알의집,20020428,운영중,,,,,,6,2,2,대구광역시 중구 남산동 2482-1번지 까치아파트 101동 510호,,
마중물그룹홈,20101230,운영중,,,,,,5,1,2,대구광역시 중구 남산동 735-30번지,,
마중물그룹홈,20101231,운영중,,,,,,4,1,2,대구광역시 중구 남산동,,
행복한 집,20060913,운영중,,,,,,5,1,1,대구광역시 동구 율하동 957-8번지,,
애호Encrypted,20080718,운영중,,,,,,4,1,1,대구광역시 동구 신서동 442-15번지,,
한사Encrypted,20100503,운영중,,,,,,4,,1,대구광역시 동구 신서동 442-13번지,,
한사랑장애인공동생활가정(2호),20120326,운영중,,,,,,4,,,대구광역시 동구 동호동,,
요람의집,20030324,운영중,,,,,,4,1,1,대구광역시 남구 대명동 1985-28번지 b b동 101호,,
대구작은예수의집,20051021,운영중,,,,,,9,1,2,대구광역시 남구 대명동 989-4번지,,
나눔공동체,20051226,운영중,,,,,,20,2,5,대구광역시 남구 대명동 550-5번지,,
더불어남구장애인공동생활가정,20000930,운영중,,,,,,4,2,4,대구광역시 남구 대명동 2292-1번지,,
늘푸른 집,20100104,운영중,,,,,,4,1,,대구광역시 남구 대명동 629-8번지,,
보금자리,20120919,운영중,,,,,,4,1,1,대구광역시 남구 대명동,,
무지개그룹홈,20150819,운영중,,,,,,4,1,1,대구광역시 남구 대명동,,
참일꾼의 집,20001204,운영중,,,,,,4,1,1,대구광역시 수성구 만촌동,,
나눔의집,20031201,운영중,,,,,,5,1,2,대구광역시 수성구 범어동 267-39번지,,
청인공동생활가정,20101122,운영중,,,,,,4,1,1,대구광역시 수성구 신매동,,
들안길공동생활가정,20130823,운영중,,,,,,4,,,대구광역시 수성구 두산동,,
성요셉공동생활가정,20020311,운영중,,,,,,4,2,2,대구광역시 달서구 진천동 262-2번지,,
들꽃마을장애인공동생활가정,20040922,운영중,,,,,,4,2,2,대구광역시 달서구 본동 1098번지,,
들꽃마을여자장애인공동생활가정,20050303,운영중,,,,,,4,2,2,대구광역시 달서구 월성동 500-0013번지,,
하늘소망집,20090518,운영중,,,,,,4,1,2,대구광역시 달성군 가창면 행정리 967번지,,
셋둘삶터,20120614,운영중,,,,,,4,2,6,대구광역시 달성군 하빈면 봉촌리,,
아름다운 집,20120614,운영중,,,,,,4,2,6,대구광역시 달성군 하빈면 봉촌리,,

