사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
다사랑보호작업장,20130826,운영중,,,,,,11,2,2,대구광역시 중구 남성로,,
행복의 일터,20040722,운영중,,,,,,25,3,3,대구광역시 중구 대신동 166-2번지,,
남산보호작업장,20000617,운영중,,,,,,35,3,3,대구광역시 중구 태평로2가,,
마중물 일터,20020415,운영중,,,,,,24,2,2,대구광역시 중구 남산동 572-40번지,,
행복한일터보호작업장,20110720,운영중,,,,,,20,2,3,대구광역시 북구 태전동,,
해인장애인보호작업장,20101129,운영중,,,,,,30,2,1,대구광역시 북구 구암동 -46번지,,
반석보호작업장,20100304,운영중,,,,,,45,,,대구광역시 북구 검단동 1256-1번지,,
선린장애인보호작업장,20030403,운영중,,,,,,20,0,2,대구광역시 북구 관음동,,
한우리보호작업장,20000928,운영중,,,,,,45,0,4,대구광역시 북구 복현동 45번지,,
성보보호작업장,20000928,운영중,,,,,,40,0,4,대구광역시 북구 복현동,,
수성보호작업장,20141229,운영중,,,,,,20,3,,대구광역시 수성구 만촌동,,
혜성보호작업장,20020125,운영중,,,,,,35,3,3,대구광역시 수성구 황금동 965번지,,
어울림보호작업장,20101230,운영중,,,,,,30,2,,대구광역시 남구 봉덕동,,
인쇄피아,20110707,운영중,,,,,,12,,,대구광역시 남구 대명동 2013-334번지,,
더불어남구보호작업장,20000930,운영중,,,,,,20,4,4,대구광역시 남구 대명동 화남빌딩,,
대구전환서비스센터,20141110,운영중,,,,,,30,,3,대구광역시 남구 대명동,,
대한안마사협회 대구지부 웰빙전통안마센터,20070816,운영중,,,,,,30,1,9,대구광역시 남구 대명동,,
앞산베네스트,20071106,운영중,,,,,,40,2,2,대구광역시 남구 대명동 471-12번지,,
행복누리,20060117,운영중,,,,,,14,2,2,대구광역시 북구 노원동1가 228번지,,
모두중증장애인보호작업장,20160318,운영중,,,,,,10,2,2,대구광역시 서구 비산동,,
자유보호작업장,20001107,운영중,,,,,,40,0,4,대구광역시 동구 덕곡동 34번지,,
동행보호작업장,20121112,운영중,,,,,,32,3,1,대구광역시 동구 검사동,,
형제일터,20180207,운영중,,,,,,20,,,대구광역시 북구 대현동,,
사)아시아복지재단,19941221,운영중,,,,,,,,,대구광역시 동구 덕곡동 34번지,,
서구장애인보호작업장,20060104,운영중,,,,,,30,2,2,대구광역시 서구 평리동 1354-1번지,,
제일장애인보호작업장,20070420,운영중,,,,,,30,2,2,대구광역시 동구 신천동 171-6번지,,
일심보호작업장,20030331,운영중,,,,,,40,3,3,대구광역시 동구 각산동 896번지,,
더불어보호작업장,20001214,운영중,,,,,,20,2,3,대구광역시 동구 백안동,,
행복울타리,20110802,운영중,,,,,,30,1,1,대구광역시 달성군 화원읍 성산리,,
여성장애인보호작업장,20070829,운영중,,,,,,20,2,2,대구광역시 달서구 본동 23-3번지,,
학산보호작업장,20030626,운영중,,,,,,45,3,3,대구광역시 달서구 갈산동 86번지,,
달성군다사장애인재활작업장,20150217,운영중,,,,,,25,3,3,대구광역시 달성군 다사읍 세천리,,
대구시희망드리보호작업장(희망DRI),20070726,운영중,,,,,,35,2,2,대구광역시 수성구 파동 1-1번지,,
늘푸른보호작업장,20170908,운영중,,,,,,20,3,,대구광역시 동구 각산동,,
가온보호작업장,20150925,운영중,,,,,,12,2,2,대구광역시 달서구 성당동,,
대구다운보호작업장,20150826,운영중,,,,,,20,2,2,대구광역시 달서구 죽전동,,
세움중증장애인보호작업장,20120619,운영중,,,,,,20,2,1,대구광역시 달서구 대천동,,
행복누리장애인보호작업장,20101207,운영중,,,,,,26,1,,대구광역시 달서구 월암동 100-29번지,,
섬들,20100126,운영중,,,,,,30,3,3,대구광역시 달서구 장기동,,
청인보호작업장,20160125,운영중,,,,,,40,,16,대구광역시 남구 대명동,,

