사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
장애인주간보호센터 푸른교실,20000411,운영중,,,,,,15,1,3,대구광역시 중구 동인동1가 367-3번지,,
서문장애인주간보호센터,20030818,운영중,,,,,,15,2,3,대구광역시 중구 대신동 166-2번지,,
중구장애인주간보호센터,20030501,운영중,,,,,,12,2,3,대구광역시 중구 남산동 735-30번지,,
사랑장애인 주간보호센터,20080318,운영중,,,,,,15,2,3,대구광역시 중구 대신동 166-2번지,,
카리타스시각장애인주간보호센터,20171013,운영중,,,,,,10,3,3,대구광역시 중구 남산동,,
샬롬장애인주간보호센터,20180823,운영중,,,,,,15,3,3,대구광역시 중구 동산동,,
더불어장애인주간보호,19980708,운영중,,,,,,21,3,3,대구광역시 동구 진인동 250번지,,
SOS아동복지센터,19991108,운영중,,,,,,60,0,10,대구광역시 동구 검사동 974-2번지,,
동촌장애인주간보호센터,20020305,운영중,,,,,,15,0,3,대구광역시 동구 입석동 964-8번지,,
한사랑 주간보호센터,20060202,운영중,,,,,,20,1,3,대구광역시 동구 신기동 93번지,,
동구장애인주간보호센터,20171107,운영중,,,,,,10,,,대구광역시 동구 율하동 403호,,
서구장애인주간보호센터,20000707,운영중,,,,,,15,3,3,대구광역시 서구 비산동,,
서대구주간보호센터,20110725,운영중,,,,,,13,3,,대구광역시 서구 평리동 684-23번지,,
은동이장애인주간보호센터,20161024,운영중,,,,,,15,,,대구광역시 서구 평리동,,
남구장애인주간보호센터,20031002,운영중,,,,,,12,2,2,대구광역시 남구 대명동 2258-34번지,,
더불어남구장애인주간보호,20000930,운영중,,,,,,21,4,5,대구광역시 남구 대명동 2292-1번지,,
밀알장애인주간보호센터,20100330,운영중,,,,,,15,2,2,대구광역시 남구 대명동 2278-14번지,,
꿈터장애인주간보호센터,20141028,운영중,,,,,,10,3,2,대구광역시 남구 대명동,,
보경주간보호센터,20160809,운영중,,,,,,15,2,1,대구광역시 남구 이천동,,
대명주간보호센터,20180306,운영중,,,,,,15,3,2,대구광역시 남구 대명동,,
선린장애인주간보호센터,20000304,운영중,,,,,,20,3,4,대구광역시 북구 관음동 477-1번지,,
북구장애인주간보호센터,20010216,운영중,,,,,,20,2,2,대구광역시 북구 읍내동,,
상록장애인주간보호센터,20030110,운영중,,,,,,15,0,3,대구광역시 북구 산격동,,
강북장애인주간보호센터,20081027,운영중,,,,,,20,3,3,대구광역시 북구 구암동 450-1번지,,
희망장애인주간보호센터,20140710,운영중,,,,,,20,,,대구광역시 북구 태전동,,
산격장애인주간보호센터,20150629,운영중,,,,,,12,3,3,대구광역시 북구 산격동,,
보담장애인주간보호센터,20170328,운영중,,,,,,15,4,,대구광역시 북구 산격동,,
아시아재활교육센터,20080110,운영중,,,,,,15,3,3,대구광역시 수성구 노변동 161-4번지,,
황금장애인주간보호센터,20020110,운영중,,,,,,20,3,3,대구광역시 수성구 황금동 965번지,,
화니장애인주간보호센터,20001221,운영중,,,,,,15,3,2,대구광역시 수성구 만촌동 1016-42번지,,
한울장애인주간보호센터,20100714,운영중,,,,,,20,3,2,대구광역시 수성구 만촌동 1036-12번지,,
수성장애인주간보호센터,20101209,운영중,,,,,,15,2,2,대구광역시 수성구 만촌동 999-15번지,,
범물장애인주간보호센터,20150107,운영중,,,,,,16,3,3,대구광역시 수성구 범물동,,
시지장애인주간보호센터,20161208,운영중,,,,,,16,2,2,대구광역시 수성구 욱수동,,
달서구장애인주간단기보호센터,20020315,운영중,,,,,,12,3,4,대구광역시 달서구 두류동,,
달서구성서장애인주간보호센터,20070523,운영중,,,,,,15,4,4,대구광역시 달서구 신당동 1844번지,,
달서구상인장애인주간보호센터,20070601,운영중,,,,,,15,3,3,대구광역시 달서구 상인동 1583-5번지,,
예은장애인주간보호센터,20110105,운영중,,,,,,15,3,3,대구광역시 달서구 송현동,,
마루주간보호센터,20120620,운영중,,,,,,12,3,2,대구광역시 달서구 두류동,,
백향목장애인주간보호센터,20140716,운영중,,,,,,15,3,,대구광역시 달서구 송현동,,
나누리장애인주간보호센터,20160701,운영중,,,,,,20,3,,대구광역시 달서구 이곡동,,
달성군 장애인복지관 부설 장애인주간보호센터,20080218,운영중,,,,,,20,1,2,대구광역시 달성군 논공읍 남리 717-4번지,,
사랑마을,20141105,운영중,,,,,,15,,,대구광역시 달성군 다사읍 매곡리,,
금동원,20141229,운영중,,,,,,15,2,2,대구광역시 달성군 화원읍,,

