사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,입소정원,자격소유인원수,총인원수,정제지번주소,정제도로명주소,정제우편번호
중리롯데캐슬 노인회,20091106,운영중,,,,,,63,0,0,대구광역시 서구 중리동 26-1번지 롯데캐슬 104동,,
비산한신휴플러스,20070210,운영중,,,,,,47,0,47,대구광역시 서구 비산동 315번지,,
비산우방아파트경로당,20070625,운영중,,,,,,31,0,31,대구광역시 서구 비산동 331-36번지,,
새동네경로당,19980608,운영중,,,,,,30,0,0,대구광역시 서구 평리동 426-29번지,,
평리청구아파트경로당,20000722,운영중,,,,,,33,0,0,대구광역시 서구 평리동 1408번지,,
금류타운경로당,20010504,운영중,,,,,,36,0,2,대구광역시 서구 원대동2가 88번지,,
거창경로당,20010411,운영중,,,,,,87,0,87,대구광역시 서구 비산동 747-1번지,,
비산우방경로당,19970113,운영중,,,,,,30,0,0,대구광역시 서구 비산동 331-36번지,,
복지경로당,19920331,운영중,,,,,,44,0,0,대구광역시 서구 평리동 614-48번지,,
동흔경로당,19881130,운영중,,,,,,30,0,0,대구광역시 서구 비산동,,
일구경로당,19930110,운영중,,,,,,65,0,0,대구광역시 서구 비산동 298-32번지,,
성우경로당,19930401,운영중,,,,,,59,0,0,대구광역시 서구 비산동 1871-2번지,,
평리2동경로당,19931217,운영중,,,,,,70,0,0,대구광역시 서구 평리동 1107-33번지,,
평광경로당,19830529,운영중,,,,,,40,0,0,대구광역시 서구 평리동 1319-6번지,,
평리6동경로당,19930108,운영중,,,,,,43,0,0,대구광역시 서구 평리동 637-13번지,,
상리1동경로당,19930110,운영중,,,,,,69,0,0,대구광역시 서구 상리동 471-1번지,,
원대3가제1경로당,19760301,운영중,,,,,,90,0,0,대구광역시 서구 원대동3가 1221-6번지,,
원대3가제2경로당,19930928,운영중,,,,,,64,0,0,대구광역시 서구 원대동3가 1344번지,,
비룡경로당,19940217,운영중,,,,,,43,0,0,대구광역시 서구 비산동 12-31번지,,
비산6동경로당,19771201,운영중,,,,,,28,0,0,대구광역시 서구 비산동 526-8번지,,
비산6동제2경로당,19940922,운영중,,,,,,38,0,0,대구광역시 서구 비산동 448-4번지,,
내우경로당,19951114,운영중,,,,,,35,0,0,대구광역시 서구 내당동 413-5번지,,
코오롱경로당,19950303,운영중,,,,,,30,0,0,대구광역시 서구 내당동 339번지,,
비산5동제2경로당,19950727,운영중,,,,,,60,0,0,대구광역시 서구 비산동 1025-268번지,,
평안경로당,19950113,운영중,,,,,,69,0,0,대구광역시 서구 평리동 953-6번지,,
서안경로당,19951215,운영중,,,,,,102,0,0,대구광역시 서구 평리동 499-22번지,,
장수경로당,19951215,운영중,,,,,,30,0,0,대구광역시 서구 평리동 1198-4번지,,
도기경로당,19950923,운영중,,,,,,32,0,0,대구광역시 서구 평리동 1516-8번지,,
중리일송경로당,19950118,운영중,,,,,,74,0,0,대구광역시 서구 중리동 702-9번지,,
원대1.2가제2경로당,19951215,운영중,,,,,,30,0,0,대구광역시 서구 원대동1가 111-4번지,,
비산7동제2경로당,19960605,운영중,,,,,,90,0,0,대구광역시 서구 비산동 1310-5번지,,
중리상록,19961224,운영중,,,,,,78,0,0,대구광역시 서구 중리동 45-5번지,,
신도경로당,19710304,운영중,,,,,,35,0,0,대구광역시 서구 평리동 742-199번지,,
평산경로당,19851026,운영중,,,,,,28,0,0,대구광역시 서구 평리동 659-12번지,,
서부경로당,19641001,운영중,,,,,,60,0,0,대구광역시 서구 평리동 1122-17번지,,
평원경로당,19790530,운영중,,,,,,60,0,0,대구광역시 서구 평리동 1174-100번지,,
산격2차청구아파트경로당,20010316,운영중,,,,,,28,0,0,대구광역시 북구 산격동 1404-19번지,,
수도산경로당,20011117,운영중,,,,,,30,0,0,대구광역시 북구 산격동,,
칠곡건영경로당,20020511,운영중,,,,,,23,0,0,대구광역시 북구 구암동 695-2번지,,
칠곡부영1단지아파트경로당,20021010,운영중,,,,,,43,0,0,대구광역시 북구 국우동 1079번지,,
동서변그린빌아파트경로당,20021202,운영중,,,,,,0,0,37,대구광역시 북구 동변동 679번지,,
침산건영하이츠경로당,20021230,운영중,,,,,,0,0,27,대구광역시 북구 침산동 296-1번지,,
태전3차두성타운경로당,20030303,운영중,,,,,,21,0,21,대구광역시 북구 태전동 215-2번지,,
대백인터빌아파트경로당,20030303,운영중,,,,,,57,0,57,대구광역시 북구 팔달동 145번지,,
그린빌5단지경로당,20030602,운영중,,,,,,37,0,37,대구광역시 북구 국우동 1080번지,,
청구장미마을경로당,19970425,운영중,,,,,,26,0,0,대구광역시 북구 매천동 595번지,,
동호경로당,19970401,운영중,,,,,,60,0,0,대구광역시 북구 동호동 272-2번지,,
칠곡3차보성경로당,19970422,운영중,,,,,,45,0,0,대구광역시 북구 읍내동 430번지,,
태전한라APT경로당,19970512,운영중,,,,,,20,0,0,대구광역시 북구 태전동 166번지,,
한일APT경로당,19970616,운영중,,,,,,51,0,0,대구광역시 북구 태전동 205-14번지,,
복현보성타운경로당,19970205,운영중,,,,,,55,0,0,대구광역시 북구 복현동 539-106번지,,
대현1동제2경로당,19970124,운영중,,,,,,41,0,0,대구광역시 북구 대현동 239-5번지,,
산격거평아파트경로당,19980929,운영중,,,,,,26,0,0,대구광역시 북구 산격동 615-22번지,,
복일경로당,19980622,운영중,,,,,,35,0,0,대구광역시 북구 복현동 609-24번지,,
태전두전경로당,19980121,운영중,,,,,,33,0,0,대구광역시 북구 태전동,,
동화타운경로당,19990614,운영중,,,,,,25,0,0,대구광역시 북구 침산동 1414번지,,
화성1차아파트경로당,19991112,운영중,,,,,,26,0,0,대구광역시 북구 침산동 117-3번지,,
칠곡그린빌4단지,20020511,운영중,,,,,,30,0,0,대구광역시 북구 구암동 788번지,,
화성2차아파트경로당,19991115,운영중,,,,,,0,0,0,대구광역시 북구 침산동 123-1번지,,
침산쌍용A경로당,19990803,운영중,,,,,,40,0,0,대구광역시 북구 침산동 400-1번지,,
복현건영경로당,19990302,운영중,,,,,,28,0,0,대구광역시 북구 복현동 539-114번지,,
신구암경로회,19991122,운영중,,,,,,27,0,0,대구광역시 북구 구암동 681-4번지,,
두산위브2001경로당,19990508,운영중,,,,,,53,0,0,대구광역시 북구 팔달동 52번지,,
칠곡우방타운경로당,19990702,운영중,,,,,,28,0,0,대구광역시 북구 읍내동 533번지,,
동아1차무지개A경로당,19991126,운영중,,,,,,31,0,0,대구광역시 북구 침산동 372-3번지,,
서당골경로당,19990508,운영중,,,,,,33,0,0,대구광역시 북구 산격동 1155-7번지,,
동아2차무지개경로당,20000630,운영중,,,,,,76,0,0,대구광역시 북구 침산동 233-3번지,,
노원보성아파트경로당,20001215,운영중,,,,,,27,0,0,대구광역시 북구 노원동1가 246번지,,
산격대우아파트경로당,20000328,운영중,,,,,,201,0,0,대구광역시 북구 산격동 500-1번지,,
사수동경로당,20000316,운영중,,,,,,50,0,0,대구광역시 북구 사수동 735-7번지,,
