측정소명,년월,측정항목,측정항목한글,단위,월평균값
"지산동,대명동,이현동,수창동",201508,Cd,카드뮴,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201508,Cr,크롬,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201508,Cu,구리,㎍/㎥,0.0096
"지산동,대명동,이현동,수창동",201508,Mn,망간,㎍/㎥,0.0142
"지산동,대명동,이현동,수창동",201508,Fe,철,㎍/㎥,0.3925
"지산동,대명동,이현동,수창동",201508,Ni,니켈,㎍/㎥,0.0033
"지산동,대명동,이현동,수창동",201508,As,비소,㎍/㎥,0.0013
"지산동,대명동,이현동,수창동",201508,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201507,Pb,납,㎍/㎥,0.0311
"지산동,대명동,이현동,수창동",201508,Pb,납,㎍/㎥,0.0161
"지산동,대명동,이현동,수창동",201508,Cd,카드뮴,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201508,Cr,크롬,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201508,Cu,구리,㎍/㎥,0.0096
"지산동,대명동,이현동,수창동",201508,Mn,망간,㎍/㎥,0.0142
"지산동,대명동,이현동,수창동",201508,Fe,철,㎍/㎥,0.3925
"지산동,대명동,이현동,수창동",201508,Ni,니켈,㎍/㎥,0.0033
"지산동,대명동,이현동,수창동",201508,As,비소,㎍/㎥,0.0013
"지산동,대명동,이현동,수창동",201508,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201508,Pb,납,㎍/㎥,0.0161
"지산동,대명동,이현동,수창동",201507,Cd,카드뮴,㎍/㎥,0.0016
"지산동,대명동,이현동,수창동",201507,Cr,크롬,㎍/㎥,0.0027
"지산동,대명동,이현동,수창동",201507,Cu,구리,㎍/㎥,0.0119
"지산동,대명동,이현동,수창동",201507,Mn,망간,㎍/㎥,0.0201
"지산동,대명동,이현동,수창동",201507,Fe,철,㎍/㎥,0.4933
"지산동,대명동,이현동,수창동",201507,Ni,니켈,㎍/㎥,0.0031
"지산동,대명동,이현동,수창동",201507,As,비소,㎍/㎥,0.0024
"지산동,대명동,이현동,수창동",201507,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201506,Pb,납,㎍/㎥,0.0268
"지산동,대명동,이현동,수창동",201506,Cd,카드뮴,㎍/㎥,0.0027
"지산동,대명동,이현동,수창동",201506,Cr,크롬,㎍/㎥,0.0028
"지산동,대명동,이현동,수창동",201506,Cu,구리,㎍/㎥,0.0154
"지산동,대명동,이현동,수창동",201506,Mn,망간,㎍/㎥,0.031
"지산동,대명동,이현동,수창동",201506,Fe,철,㎍/㎥,0.7027
"지산동,대명동,이현동,수창동",201506,Ni,니켈,㎍/㎥,0.0036
"지산동,대명동,이현동,수창동",201506,As,비소,㎍/㎥,0.0017
"지산동,대명동,이현동,수창동",201506,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201505,Pb,납,㎍/㎥,0.0289
"지산동,대명동,이현동,수창동",201505,Cd,카드뮴,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201505,Cr,크롬,㎍/㎥,0.0045
"지산동,대명동,이현동,수창동",201505,Cu,구리,㎍/㎥,0.018
"지산동,대명동,이현동,수창동",201505,Mn,망간,㎍/㎥,0.0393
"지산동,대명동,이현동,수창동",201505,Fe,철,㎍/㎥,0.9973
"지산동,대명동,이현동,수창동",201505,Ni,니켈,㎍/㎥,0.0041
"지산동,대명동,이현동,수창동",201505,As,비소,㎍/㎥,0.003
"지산동,대명동,이현동,수창동",201505,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201503,Pb,납,㎍/㎥,0.0236
"지산동,대명동,이현동,수창동",201503,Cd,카드뮴,㎍/㎥,0.0069
"지산동,대명동,이현동,수창동",201503,Cr,크롬,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201503,Cu,구리,㎍/㎥,0.0082
"지산동,대명동,이현동,수창동",201503,Mn,망간,㎍/㎥,0.0186
"지산동,대명동,이현동,수창동",201503,Fe,철,㎍/㎥,0.4301
"지산동,대명동,이현동,수창동",201503,Ni,니켈,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201503,As,비소,㎍/㎥,0.0028
"지산동,대명동,이현동,수창동",201503,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201502,Pb,납,㎍/㎥,0.0443
"지산동,대명동,이현동,수창동",201502,Cd,카드뮴,㎍/㎥,0.0035
"지산동,대명동,이현동,수창동",201502,Cr,크롬,㎍/㎥,0.0024
"지산동,대명동,이현동,수창동",201502,Cu,구리,㎍/㎥,0.0133
"지산동,대명동,이현동,수창동",201502,Mn,망간,㎍/㎥,0.0226
"지산동,대명동,이현동,수창동",201502,Fe,철,㎍/㎥,0.5663
"지산동,대명동,이현동,수창동",201502,Ni,니켈,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201502,As,비소,㎍/㎥,0.0038
"지산동,대명동,이현동,수창동",201502,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201501,Pb,납,㎍/㎥,0.0396
"지산동,대명동,이현동,수창동",201501,Cd,카드뮴,㎍/㎥,0.0033
"지산동,대명동,이현동,수창동",201501,Cr,크롬,㎍/㎥,0.0053
"지산동,대명동,이현동,수창동",201501,Cu,구리,㎍/㎥,0.0262
"지산동,대명동,이현동,수창동",201501,Mn,망간,㎍/㎥,0.0323
"지산동,대명동,이현동,수창동",201501,Fe,철,㎍/㎥,0.7369
"지산동,대명동,이현동,수창동",201501,Ni,니켈,㎍/㎥,0.0035
"지산동,대명동,이현동,수창동",201501,As,비소,㎍/㎥,0.004
"지산동,대명동,이현동,수창동",201501,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201412,Pb,납,㎍/㎥,0.0332
"지산동,대명동,이현동,수창동",201412,Cd,카드뮴,㎍/㎥,0.0038
"지산동,대명동,이현동,수창동",201412,Cr,크롬,㎍/㎥,0.0029
"지산동,대명동,이현동,수창동",201412,Cu,구리,㎍/㎥,0.0193
"지산동,대명동,이현동,수창동",201412,Mn,망간,㎍/㎥,0.0226
"지산동,대명동,이현동,수창동",201412,Fe,철,㎍/㎥,0.5173
"지산동,대명동,이현동,수창동",201412,Ni,니켈,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201412,As,비소,㎍/㎥,0.0035
"지산동,대명동,이현동,수창동",201412,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201411,Pb,납,㎍/㎥,0.0263
"지산동,대명동,이현동,수창동",201411,Cd,카드뮴,㎍/㎥,0.0043
"지산동,대명동,이현동,수창동",201411,Cr,크롬,㎍/㎥,0.0048
"지산동,대명동,이현동,수창동",201411,Cu,구리,㎍/㎥,0.0238
"지산동,대명동,이현동,수창동",201411,Mn,망간,㎍/㎥,0.0336
"지산동,대명동,이현동,수창동",201411,Fe,철,㎍/㎥,0.7721
"지산동,대명동,이현동,수창동",201411,Ni,니켈,㎍/㎥,0.0041
"지산동,대명동,이현동,수창동",201411,As,비소,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201411,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201410,Pb,납,㎍/㎥,0.023
"지산동,대명동,이현동,수창동",201410,Cd,카드뮴,㎍/㎥,0.0003
"지산동,대명동,이현동,수창동",201410,Cr,크롬,㎍/㎥,0.0021
"지산동,대명동,이현동,수창동",201410,Cu,구리,㎍/㎥,0.0099
"지산동,대명동,이현동,수창동",201410,Mn,망간,㎍/㎥,0.0219
"지산동,대명동,이현동,수창동",201410,Fe,철,㎍/㎥,0.4202
"지산동,대명동,이현동,수창동",201410,Ni,니켈,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201410,As,비소,㎍/㎥,0.0008
"지산동,대명동,이현동,수창동",201410,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201410,Pb,납,㎍/㎥,0.023
"지산동,대명동,이현동,수창동",201410,Cd,카드뮴,㎍/㎥,0.0003
"지산동,대명동,이현동,수창동",201410,Cr,크롬,㎍/㎥,0.0021
"지산동,대명동,이현동,수창동",201410,Cu,구리,㎍/㎥,0.0099
"지산동,대명동,이현동,수창동",201410,Mn,망간,㎍/㎥,0.0219
"지산동,대명동,이현동,수창동",201410,Fe,철,㎍/㎥,0.4202
"지산동,대명동,이현동,수창동",201410,Ni,니켈,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201410,As,비소,㎍/㎥,0.0008
"지산동,대명동,이현동,수창동",201410,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201409,Pb,납,㎍/㎥,0.016
"지산동,대명동,이현동,수창동",201409,Cd,카드뮴,㎍/㎥,0.0006
"지산동,대명동,이현동,수창동",201409,Cr,크롬,㎍/㎥,0.0013
"지산동,대명동,이현동,수창동",201409,Cu,구리,㎍/㎥,0.0083
"지산동,대명동,이현동,수창동",201409,Mn,망간,㎍/㎥,0.0148
"지산동,대명동,이현동,수창동",201409,Fe,철,㎍/㎥,0.3598
"지산동,대명동,이현동,수창동",201409,Ni,니켈,㎍/㎥,0.0011
"지산동,대명동,이현동,수창동",201409,As,비소,㎍/㎥,0.0019
"지산동,대명동,이현동,수창동",201409,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201408,Pb,납,㎍/㎥,0.021
"지산동,대명동,이현동,수창동",201408,Cd,카드뮴,㎍/㎥,0.0007
"지산동,대명동,이현동,수창동",201408,Cr,크롬,㎍/㎥,0.0019
"지산동,대명동,이현동,수창동",201408,Cu,구리,㎍/㎥,0.0129
"지산동,대명동,이현동,수창동",201408,Mn,망간,㎍/㎥,0.0164
"지산동,대명동,이현동,수창동",201408,Fe,철,㎍/㎥,0.399
"지산동,대명동,이현동,수창동",201408,Ni,니켈,㎍/㎥,0.0021
"지산동,대명동,이현동,수창동",201408,As,비소,㎍/㎥,0.0029
"지산동,대명동,이현동,수창동",201408,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201504,Pb,납,㎍/㎥,0.0138
"지산동,대명동,이현동,수창동",201504,Cd,카드뮴,㎍/㎥,0.0001
"지산동,대명동,이현동,수창동",201504,Cr,크롬,㎍/㎥,0.0016
"지산동,대명동,이현동,수창동",201504,Cu,구리,㎍/㎥,0.0103
"지산동,대명동,이현동,수창동",201504,Mn,망간,㎍/㎥,0.0165
"지산동,대명동,이현동,수창동",201504,Fe,철,㎍/㎥,0.3849
"지산동,대명동,이현동,수창동",201504,Ni,니켈,㎍/㎥,0.001
"지산동,대명동,이현동,수창동",201504,As,비소,㎍/㎥,0.0049
"지산동,대명동,이현동,수창동",201504,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201407,Pb,납,㎍/㎥,0.0263
"지산동,대명동,이현동,수창동",201601,Pb,납,㎍/㎥,0.0277
"지산동,대명동,이현동,수창동",201601,Cd,카드뮴,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201601,Cr,크롬,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201601,Cu,구리,㎍/㎥,0.016
"지산동,대명동,이현동,수창동",201601,Mn,망간,㎍/㎥,0.0173
"지산동,대명동,이현동,수창동",201601,Fe,철,㎍/㎥,0.4187
"지산동,대명동,이현동,수창동",201601,Ni,니켈,㎍/㎥,0.0019
"지산동,대명동,이현동,수창동",201601,As,비소,㎍/㎥,0.0035
"지산동,대명동,이현동,수창동",201601,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201510,Pb,납,㎍/㎥,0.0252
"지산동,대명동,이현동,수창동",201510,Cd,카드뮴,㎍/㎥,0.0012
"지산동,대명동,이현동,수창동",201510,Cr,크롬,㎍/㎥,0.0043
"지산동,대명동,이현동,수창동",201510,Cu,구리,㎍/㎥,0.0187
"지산동,대명동,이현동,수창동",201510,Mn,망간,㎍/㎥,0.0292
"지산동,대명동,이현동,수창동",201510,Fe,철,㎍/㎥,0.6975
"지산동,대명동,이현동,수창동",201510,Ni,니켈,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201510,As,비소,㎍/㎥,0.0013
"지산동,대명동,이현동,수창동",201510,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201608,Pb,납,㎍/㎥,0.0226
"지산동,대명동,이현동,수창동",201608,Cd,카드뮴,㎍/㎥,0.0007
"지산동,대명동,이현동,수창동",201608,Cr,크롬,㎍/㎥,0.0019
"지산동,대명동,이현동,수창동",201608,Cu,구리,㎍/㎥,0.0132
"지산동,대명동,이현동,수창동",201608,Mn,망간,㎍/㎥,0.0206
"지산동,대명동,이현동,수창동",201608,Fe,철,㎍/㎥,0.3772
"지산동,대명동,이현동,수창동",201608,Ni,니켈,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201608,As,비소,㎍/㎥,0.0021
"지산동,대명동,이현동,수창동",201608,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201604,Pb,납,㎍/㎥,0.023
"지산동,대명동,이현동,수창동",201604,Cd,카드뮴,㎍/㎥,0.0003
"지산동,대명동,이현동,수창동",201604,Cr,크롬,㎍/㎥,0.0043
"지산동,대명동,이현동,수창동",201604,Cu,구리,㎍/㎥,0.0199
"지산동,대명동,이현동,수창동",201604,Mn,망간,㎍/㎥,0.0316
"지산동,대명동,이현동,수창동",201604,Fe,철,㎍/㎥,0.8496
"지산동,대명동,이현동,수창동",201604,Ni,니켈,㎍/㎥,0.0025
"지산동,대명동,이현동,수창동",201604,As,비소,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201604,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201407,Cd,카드뮴,㎍/㎥,0.0005
"지산동,대명동,이현동,수창동",201407,Cr,크롬,㎍/㎥,0.0021
"지산동,대명동,이현동,수창동",201407,Cu,구리,㎍/㎥,0.0103
"지산동,대명동,이현동,수창동",201407,Mn,망간,㎍/㎥,0.0176
"지산동,대명동,이현동,수창동",201407,Fe,철,㎍/㎥,0.426
"지산동,대명동,이현동,수창동",201407,Ni,니켈,㎍/㎥,0.002
"지산동,대명동,이현동,수창동",201407,As,비소,㎍/㎥,0.0012
"지산동,대명동,이현동,수창동",201407,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201406,Pb,납,㎍/㎥,0.0189
"지산동,대명동,이현동,수창동",201406,Cd,카드뮴,㎍/㎥,0.0004
"지산동,대명동,이현동,수창동",201406,Cr,크롬,㎍/㎥,0.0019
"지산동,대명동,이현동,수창동",201406,Cu,구리,㎍/㎥,0.0083
"지산동,대명동,이현동,수창동",201406,Mn,망간,㎍/㎥,0.0164
"지산동,대명동,이현동,수창동",201406,Fe,철,㎍/㎥,0.3695
"지산동,대명동,이현동,수창동",201406,Ni,니켈,㎍/㎥,0.0015
"지산동,대명동,이현동,수창동",201406,As,비소,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201406,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201405,Pb,납,㎍/㎥,0.0271
"지산동,대명동,이현동,수창동",201405,Cd,카드뮴,㎍/㎥,0.001
"지산동,대명동,이현동,수창동",201405,Cr,크롬,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201405,Cu,구리,㎍/㎥,0.011
"지산동,대명동,이현동,수창동",201405,Mn,망간,㎍/㎥,0.0235
"지산동,대명동,이현동,수창동",201405,Fe,철,㎍/㎥,0.5893
"지산동,대명동,이현동,수창동",201405,Ni,니켈,㎍/㎥,0.0023
"지산동,대명동,이현동,수창동",201405,As,비소,㎍/㎥,0.0034
"지산동,대명동,이현동,수창동",201405,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201403,Pb,납,㎍/㎥,0.0257
"지산동,대명동,이현동,수창동",201403,Cd,카드뮴,㎍/㎥,0.0012
"지산동,대명동,이현동,수창동",201403,Cr,크롬,㎍/㎥,0.0032
"지산동,대명동,이현동,수창동",201403,Cu,구리,㎍/㎥,0.013
"지산동,대명동,이현동,수창동",201403,Mn,망간,㎍/㎥,0.0199
"지산동,대명동,이현동,수창동",201403,Fe,철,㎍/㎥,0.473
"지산동,대명동,이현동,수창동",201403,Ni,니켈,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201403,As,비소,㎍/㎥,0.0012
"지산동,대명동,이현동,수창동",201403,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201402,Pb,납,㎍/㎥,0.0146
"지산동,대명동,이현동,수창동",201402,Cd,카드뮴,㎍/㎥,0.001
"지산동,대명동,이현동,수창동",201402,Cr,크롬,㎍/㎥,0.0012
"지산동,대명동,이현동,수창동",201402,Cu,구리,㎍/㎥,0.0079
"지산동,대명동,이현동,수창동",201402,Mn,망간,㎍/㎥,0.009
"지산동,대명동,이현동,수창동",201402,Fe,철,㎍/㎥,0.1994
"지산동,대명동,이현동,수창동",201402,Ni,니켈,㎍/㎥,0.0008
"지산동,대명동,이현동,수창동",201402,As,비소,㎍/㎥,0.0015
"지산동,대명동,이현동,수창동",201402,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201401,Pb,납,㎍/㎥,0.0437
"지산동,대명동,이현동,수창동",201401,Cd,카드뮴,㎍/㎥,0.0026
"지산동,대명동,이현동,수창동",201401,Cr,크롬,㎍/㎥,0.0034
"지산동,대명동,이현동,수창동",201401,Cu,구리,㎍/㎥,0.0197
"지산동,대명동,이현동,수창동",201401,Mn,망간,㎍/㎥,0.0268
"지산동,대명동,이현동,수창동",201401,Fe,철,㎍/㎥,0.557
"지산동,대명동,이현동,수창동",201401,Ni,니켈,㎍/㎥,0.0028
"지산동,대명동,이현동,수창동",201401,As,비소,㎍/㎥,0.005
"지산동,대명동,이현동,수창동",201401,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201312,Pb,납,㎍/㎥,0.0258
"지산동,대명동,이현동,수창동",201312,Cd,카드뮴,㎍/㎥,0.0037
"지산동,대명동,이현동,수창동",201312,Cr,크롬,㎍/㎥,0.0023
"지산동,대명동,이현동,수창동",201312,Cu,구리,㎍/㎥,0.0116
"지산동,대명동,이현동,수창동",201312,Mn,망간,㎍/㎥,0.0171
"지산동,대명동,이현동,수창동",201312,Fe,철,㎍/㎥,0.3445
"지산동,대명동,이현동,수창동",201312,Ni,니켈,㎍/㎥,0.0014
"지산동,대명동,이현동,수창동",201312,As,비소,㎍/㎥,0.0031
"지산동,대명동,이현동,수창동",201312,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201312,Pb,납,㎍/㎥,0.0258
"지산동,대명동,이현동,수창동",201312,Cd,카드뮴,㎍/㎥,0.0037
"지산동,대명동,이현동,수창동",201312,Cr,크롬,㎍/㎥,0.0023
"지산동,대명동,이현동,수창동",201312,Cu,구리,㎍/㎥,0.0116
"지산동,대명동,이현동,수창동",201312,Mn,망간,㎍/㎥,0.0171
"지산동,대명동,이현동,수창동",201312,Fe,철,㎍/㎥,0.3445
"지산동,대명동,이현동,수창동",201312,Ni,니켈,㎍/㎥,0.0014
"지산동,대명동,이현동,수창동",201312,As,비소,㎍/㎥,0.0031
"지산동,대명동,이현동,수창동",201312,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201312,Pb,납,㎍/㎥,0.0258
"지산동,대명동,이현동,수창동",201312,Cd,카드뮴,㎍/㎥,0.0037
"지산동,대명동,이현동,수창동",201312,Cr,크롬,㎍/㎥,0.0023
"지산동,대명동,이현동,수창동",201312,Cu,구리,㎍/㎥,0.0116
"지산동,대명동,이현동,수창동",201312,Mn,망간,㎍/㎥,0.0171
"지산동,대명동,이현동,수창동",201312,Fe,철,㎍/㎥,0.3445
"지산동,대명동,이현동,수창동",201312,Ni,니켈,㎍/㎥,0.0014
"지산동,대명동,이현동,수창동",201312,As,비소,㎍/㎥,0.0031
"지산동,대명동,이현동,수창동",201312,Be,베릴륨,㎍/㎥,0
"지산동,대명동,이현동,수창동",201311,Pb,납,㎍/㎥,0.0348
"지산동,대명동,이현동,수창동",201311,Cd,카드뮴,㎍/㎥,0.0009
"지산동,대명동,이현동,수창동",201311,Cr,크롬,㎍/㎥,0.0036
"지산동,대명동,이현동,수창동",201311,Cu,구리,㎍/㎥,0.0225
"지산동,대명동,이현동,수창동",201311,Mn,망간,㎍/㎥,0.0297
"지산동,대명동,이현동,수창동",201311,Fe,철,㎍/㎥,0.6021
"지산동,대명동,이현동,수창동",201311,Ni,니켈,㎍/㎥,0.0022
"지산동,대명동,이현동,수창동",201311,As,비소,㎍/㎥,0.0018
"지산동,대명동,이현동,수창동",201311,Be,베릴륨,㎍/㎥,0
