사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,폐기물구분명,인허가구분명,폐기물처리업구분명,폐기물처리업별처리구분명,허용보관량,허용보관량내용,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)창연토건,20070430,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본동 877-1번지,대구광역시 달서구 구마로14길 37  (본동),704807
(주)태연산업개발,20180320,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 1806번지,대구광역시 달서구 월곡로99길 41 (월성동),
오성기업(주),20130417,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달성군 다사읍 서재본길 49,
(주)태연산업개발,20160415,폐업 등,20160415,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 월성동 1806번지,대구광역시 달서구 월곡로99길 41 (월성동),
(주)보광환경,20151201,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 감삼동 117-1번지,"대구광역시 달서구 달구벌대로330길 67, 101호 (감삼동)",
(주)지원환경,20180810,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 북구 읍내동 932번지,"대구광역시 북구 칠곡중앙대로108길 20, A동 502호 (읍내동)",
(주)가야환경,20160906,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 신암동 483-3번지 강남아파트상가 103동 11호,"대구광역시 동구 신성로 60, 상가103동 1층 11호 (신암동, 강남아파트)",
이현환경(주),20160801,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 본리동 1216-7번지,대구광역시 달서구 본리서3길 49 (본리동),
대도환경개발,20180424,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 서구 통학로 190-1, 2층 (평리동)",
삼구환경,20130423,폐업 등,20130423,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 서호동 112번지,,701240
대경환경(대구),20000324,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 용계동 931번지,,
(주)삼우환경,20001021,운영중,,,,,,,허가,수집운반업(건설폐기물),,196.2,,건설폐기물처리업사업계획(허가)신청,,대구광역시 동구 안심로102길 39 (괴전동),701320
대웅산업(주),20021224,폐업 등,20090504,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 효목동 281-3번지 동원빌딩 4층,,701030
그린환경산업(주),19970516,폐업 등,20090326,,,,,,신고,수집운반업(건설폐기물),,112.5,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 신평동 311-7번지,,701140
대광환경골재,20011106,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 불로동 941-1번지,,701807
(주)녹색환경산업사,20100108,운영중,,,,,,,허가,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,,대구광역시 동구 공항로 143 (불로동),701807
거성환경,20120409,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 입석동 480-3번지,대구광역시 동구 입석로3길 50 (입석동),701864
(주)경북산업개발,20140325,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 동구 반야월로14길 26, 102호 (율하동)",
소원환경,20140902,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 용계동 931번지,,
(주)서형환경,20180713,폐업 등,20180713,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 진천동 187-12번지,대구광역시 달서구 월배로24길 103 (진천동),
(주)대일환경,20180104,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 달서구 성당동 397-1번지,대구광역시 달서구 대명천로20길 9 (성당동),
(주)선봉환경,20150608,운영중,,,,,,,허가,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,"대구광역시 동구 율하동로10길 23-3, 1023호 (율하동)",
(주)대인중기,20070810,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 동구 율하동 892-10번지,,701837
(주)주영환경개발,20070208,운영중,,,,,,건설폐기물,계획,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 수성동4가 1024-3번지 (306호),,706034
(주)예성산업개발,20080307,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 상동 259-1번지 2층,"대구광역시 수성구 상화로 30  (상동,2층)",706060
금해산업(주),20080307,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 매호동 1335-12번지,대구광역시 수성구 달구벌대로627길 22-1  (매호동),706140
(주)대풍환경개발,20090804,운영중,,,,,,,계획,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,대구광역시 수성구 만촌동 1029-1번지,대구광역시 수성구 만촌로 25  (만촌동),706020
동보환경,20090312,폐업 등,20090605,,,,,,신고,수집운반업(건설폐기물),,0,,건설폐기물처리업사업계획(허가)신청,대구광역시 중구 봉산동 203-6번지,대구광역시 중구 명륜로 147 (봉산동),700823
오성기업(주),20141001,폐업 등,20140929,,,,,,신고,수집운반업(건설폐기물),,,,건설폐기물처리업사업계획(허가)신청,,대구광역시 달성군 다사읍 서재본길 49,
