사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,방지시설연간가동일수,방지시설조업시간,배출시설연간가동일수,배출시설조업시간,업종명,종별명,주생산품명,환경업무구분명,정제지번주소,정제도로명주소,정제우편번호
(주)명신염색가공,20070104,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2007-68번지,대구광역시 서구 염색공단중앙로12길 32 (비산동),
서진머티리얼(주),20070126,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 3325-3번지,대구광역시 서구 염색공단중앙로 69 (비산동),
득산실업,20070205,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 3325-10번지,대구광역시 서구 염색공단중앙로 65 (비산동),
(주)성광공업,20070307,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-320번지,대구광역시 서구 문화로17길 23 (이현동),
쌍용자동차대구사업소(주),20070315,운영중,,,,,,,,,,자동차 종합 수리업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-35번지,대구광역시 서구 와룡로 489 (이현동),
삼우금속,20070315,운영중,,,,,,,,,,도금업,5종,,대기배출업소관리,대구광역시 서구 중리동 1022번지,대구광역시 서구 와룡로69길 60-7 (중리동),
국민피치,20070413,폐업 등,20080722,,,,,,,,,일반 의원,5종,,대기배출업소관리,대구광역시 서구 이현동 42-80번지,대구광역시 서구 문화로23길 13  (이현동),
하나테크,20070607,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 중리동 1022-8번지,대구광역시 서구 와룡로69길 60-3  (중리동),
GS모터스,20070611,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 이현동 42-293번지,대구광역시 서구 와룡로 411 (이현동),
원대금속,20080729,운영중,,,,,,,,,,도장 및 기타 피막처리업,5종,,대기배출업소관리,대구광역시 서구 중리동 1119-1번지,대구광역시 서구 와룡로 350 (중리동),
(주)원영화학,20080822,운영중,,,,,,,,,,기타 화학제품 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 240-5번지,대구광역시 서구 가르뱅이로6길 39 (이현동),
한창콘베어(주),20080919,운영중,,,,,,,,,,엘리베이터 및 컨베이어장치 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 42-517번지,대구광역시 서구 와룡로87길 90  (이현동),
주식회사 고려텍스,20081110,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2006-62번지,대구광역시 서구 염색공단중앙로22길 37 (비산동),
화광섬유,20081128,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 이현동 25-2번지,대구광역시 서구 북비산로29길 58 (이현동),
오성도장,20081224,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 서구 비산동 1744-8번지,대구광역시 서구 팔달로2길 12 (비산동),
명준염직,20090216,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 비산동 2010-38번지,대구광역시 서구 염색공단로13길 31 (비산동),
(주)키토랑,20090420,운영중,,,,,,,,,,도축업,5종,,대기배출업소관리,대구광역시 서구 중리동 1024번지 891-5호,"대구광역시 서구 와룡로73길 50 (중리동,891-5호)",
삼호특수가공,20090501,운영중,,,,,,,,,,섬유 염색 및 가공업,4종,,대기배출업소관리,대구광역시 서구 이현동 42-373번지,대구광역시 서구 국채보상로7길 48 (이현동),
신용애드,20090512,운영중,,,,,,,,,,간판 및 광고물 제조업,5종,,대기배출업소관리,대구광역시 서구 이현동 226-1번지,대구광역시 서구 북비산로13길 12 (이현동),
용운자동차정비,19940613,운영중,,,,,,,,,,자동차 수리업,5종,,대기배출업소관리,대구광역시 동구 동호동 104-27번지,대구광역시 동구 안심로55길 29  (동호동),701230
광복공업사,19950712,폐업 등,20020108,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 검사동 963-4번지,대구광역시 동구 해동로 254  (검사동),701040
동광보링정비공업사,19961230,폐업 등,20060525,,,,,,,,,자동차 수리업,4종,,대기배출업소관리,대구광역시 동구 신서동 637-11번지,대구광역시 동구 안심로69길 42-1  (신서동),701300
성신사,19960827,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 각산동 294-1번지,대구광역시 동구 안심로65길 31-1  (각산동),701290
용전,19981228,폐업 등,20020129,,,,,,,,,,,,대기배출업소관리,대구광역시 동구 동호동 206-1번지,대구광역시 동구 안심로55길 1  (동호동),701230
자동차시대정비공장,19991127,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 불로동 947-1번지,대구광역시 동구 공항로31길 9-7 (불로동),
경북재향군인회각산동지점,20020612,운영중,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 각산동 298-4번지,대구광역시 동구 안심로65길 8 (각산동),
반야월 자동차 정비공장,19841024,운영중,,,,,,,,,,,5종,,대기배출업소관리,대구광역시 동구 동호동 100-6번지,대구광역시 동구 안심로55길 52 (동호동),
대성산업(주),19790220,폐업 등,20030121,,,,,,,,,연탄 및 기타 응집 유·무연탄 생산업,,,대기배출업소관리,대구광역시 동구 율암동 431-6번지,대구광역시 동구 반야월로 111-12  (율암동),701260
(주)SK대구저유소,19790220,폐업 등,20030228,,,,,,,,,석유정제품 제조업,,,대기배출업소관리,대구광역시 동구 내곡동 산 340번지,,701370
(주)거성산업자재,19871024,폐업 등,20030324,,,,,,,,,기타 섬유제품 제조업,,,대기배출업소관리,대구광역시 동구 각산동 301-1번지,,701290
동산타이어,19880130,폐업 등,20060912,,,,,,,,,타이어 재생업,5종,,대기배출업소관리,대구광역시 동구 각산동 920-1번지,,701290
신일식품,19880610,휴업 등,,,,,,,,,,,4종,,대기배출업소관리,대구광역시 동구 동호동 200-2번지,대구광역시 동구 안심로59길 19 (동호동),
대영산업,19900730,폐업 등,20060306,,,,,,,,,제재 및 목재 가공업,4종,,대기배출업소관리,대구광역시 동구 각산동 912-19번지,,701290
