"행정구역(구군)별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정구역(구군)별(1)",대기(가스먼지매연 및 악취),대기(가스먼지매연 및 악취),대기(가스먼지매연 및 악취),대기(가스먼지매연 및 악취),대기(가스먼지매연 및 악취),대기(가스먼지매연 및 악취),수질(폐수),수질(폐수),수질(폐수),수질(폐수),수질(폐수),수질(폐수),소음및진동
"행정구역(구군)별(1)",소계,1종,2종,3종,4종,5종,소계,1종,2종,3종,4종,5종,소계
"합계",2093,26,46,87,814,1120,2967,8,96,117,172,2574,216
"중구",31,-,1,1,7,22,34,-,1,1,-,32,2
"동구",105,1,1,2,49,52,156,-,-,1,9,146,25
"서구",387,4,7,21,202,153,433,2,77,59,31,264,8
"남구",11,-,1,2,3,5,49,-,-,-,2,47,1
"북구",548,1,7,13,180,347,1006,2,2,3,17,982,51
"수성구",38,-,-,1,15,22,133,-,2,-,1,130,6
"달서구",592,6,9,25,237,315,690,1,7,28,61,593,3
"달성군",350,14,20,22,110,184,431,3,7,24,48,349,120
"경제자유구역청",31,-,-,-,11,20,35,-,-,1,3,31,-
