측정소명,위치,경도,위도,TM좌표,설치년도,측정항목,단위
수창동,대구광역시 중구 달성로22길 30(수창초등학교),35.874296,128.584137,342.970 × 264.895,1999,"PM-10, PM-2.5, O3, NO2, CO, SO2",
지산동,대구광역시 수성구 무학로 209(한국환경공단(경북권지역본부),35.83047,128.631555,347.158 × 260.473,1999,"PM-10, PM-2.5, O3, NO2, CO, SO2",
서호동,대구광역시 동구 안심로 49길 70(서호동 25-1),35.869103,128.711015,354.504 × 366.172,2001,"PM-10, PM-2.5, O3, NO2, CO, SO2",
이현동,대구광역시 서구 국채보상로 135(중리초등학교),35.869552,128.545324,339.584 x 265.382,2003,"PM-10, PM-2.5, O3, NO2, CO, SO2",
대명동,대구광역시 남구 성당로30길 55(성명초등학교),35.845499,128.571068,341.867 x 261.733,1981,"PM-10, PM-2.5, O3, NO2, CO, SO2",
노원동,대구광역시 북구 3공단로14길(삼영초등학교),35.894199,128.56116,341.028 x 267.115,1989,"PM-10, PM-2.5, O3, NO2, CO, SO2",
신암동,대구광역시 동구 아양로37길 92(신암5동 주민센터),35.889756,128.633063,347.208 x 266.835,1997,"PM-10, PM-2.5, O3, NO2, CO, SO2",
태전동,대구광역시 북구 칠곡중앙대로52길(태암초등학교),35.921541,128.549111,344.543 x 270.593,2003,"PM-10, PM-2.5, O3, NO2, CO, SO2",
만촌동,대구광역시 수성구 국채보상로 1000(동원초등학교),35.865276,128.640032,349.829 x 262.627,1995,"PM-10, PM-2.5, O3, NO2, CO, SO2",
호림동,대구광역시 달서구 성서공단로11길 32(대구기계부품연구원),35.837878,128.488732,335.964 x 260.665,2014,"PM-10, PM-2.5, O3, NO2, CO, SO2",
현풍면,대구광역시 달성군 현풍중앙로 144-34(상수도사업본부 달성사업소),35.700224,128.442259,330.542 x 247.459,2003,"PM-10, PM-2.5, O3, NO2, CO, SO2",

