사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,영업소면적,위탁업체명,정제지번주소,정제도로명주소,정제우편번호
주식회사 정도환경,20180828,운영중,,,,,,,,,대구광역시 달서구 달구벌대로 1221(3층),
(주)한국이앤씨,20180529,운영중,,,,,,,,대구광역시 서구 평리6동   567번지,대구광역시 서구 북비산로 165 (평리동),703834
(주)명문환경연구소,20170807,운영중,,,,,,,,,"대구광역시 서구 통학로 86-1, 2층 (평리동)",
케이지엔텍,20180528,운영중,,,,,,,,대구광역시 서구 평리3동   719번지 1호,대구광역시 서구 서대구로 230 (평리동),703839
현대공해측정(주),20180731,운영중,,,,,,,,,대구광역시 서구 국채보상로19길 15 (이현동),
삼한측정(주),20180523,운영중,,,,,,,,대구광역시 달서구 이곡동 531번지 3호,대구광역시 달서구 이곡서로7길 17 (이곡동),
국제공해측정(주),20080218,운영중,20080324,,,,,,,대구광역시 북구 산격4동   1442번지 54호,대구광역시 북구 대구체육관로 18-2 (산격동),702843
(주)대구공해,20060920,운영중,20070103,,,,,,,대구광역시 남구 대명6동   1115번지 1호,대구광역시 남구 대명로 34 (대명동),705811
대동환경측정(주),20180404,운영중,,,,,,,,대구광역시 달서구 죽전동   372번지,대구광역시 달서구 평리로 92 (죽전동),704932
제일환경측정(주),20180807,운영중,,,,,,,,대구광역시 달서구 이곡동 541번지 10호,대구광역시 달서구 달구벌대로 1222 (이곡동),
(주)이화환경지점,20180820,운영중,,,,,,,,대구광역시 서구 이현동 42번지 292호,대구광역시 서구 와룡로83길 13 (이현동),
(주)신라엔텍,20180829,운영중,,,,,,,,대구광역시 서구 이현동   42번지 450호,대구광역시 서구 와룡로87길 24 (이현동),703830
고려환경,20071114,운영중,20080324,,,,,,,대구광역시 북구 침산2동   295번지 11호,대구광역시 북구 침산로 162-17 (침산동),702052
(주)삼안환경화학측정,20180717,운영중,,,,,,,,,대구광역시 북구 팔달북로15길 12 (노원동3가),
대구염색산업단지관리공단,20091009,운영중,20100112,,,,,,,대구광역시 서구 평리동   404번지 2호,대구광역시 서구 염색공단중앙로 33 (평리동),703010
국일공해측정(주),20180719,운영중,,,,,,,,대구광역시 서구 이현동 192번지 8호,대구광역시 서구 북비산로17길 9-7 (이현동),
(주)청수,20060704,운영중,20060530,,,,,,,대구광역시 서구 중리동   1119번지 7호,대구광역시 서구 와룡로72길 8 (중리동),703833
(주)대산엔지니어링,20071019,운영중,20071019,,,,,,,대구광역시 서구 평리5동   1492번지 34호,대구광역시 서구 서대구로 185 (평리동),703849
(주)이앤비테크,20180820,운영중,,,,,,,,,대구광역시 달성군 옥포면 간경길 20,
(주)에코티앤씨,20060720,운영중,20060816,,,,,,,대구광역시 수성구 황금2동   676번지 4호,대구광역시 수성구 동대구로 207 (황금동),706852
DYETEC연구원,20180212,운영중,,,,,,,,대구광역시 서구 평리6동   404번지 7호,대구광역시 서구 달서천로 92 (평리동),703834
(사)대한산업보건협회 대구산업보건센타,20080509,운영중,20100427,,,,,,,대구광역시 달서구 호림동   19번지 15호,대구광역시 달서구 성서공단로15길 40 (호림동),704240
계명대학교전통미생물자원연구센터,20120925,운영중,20140304,,,,,,,대구광역시 달서구 신당동  1000번지 계명대학교성서캠퍼스 첨단산업지원센터,,704701
(주)제일랩,20100126,운영중,20100126,,,,,,,대구광역시 북구 읍내동   1206번지 4호 장원빌딩6층,"대구광역시 북구 칠곡중앙대로 525 (읍내동,장원빌딩6층)",702200
한국건설생활환경시험연구원 대구경북지원,20111020,운영중,20131202,,,,,,,대구광역시 달서구 죽전동   277번지 5호,대구광역시 달서구 죽전1길 39 (죽전동),704932
(주)제일랩,20120217,운영중,20140414,,,,,,,대구광역시 북구 읍내동   1206번지 4호 장원빌딩 6층,"대구광역시 북구 칠곡중앙대로 525, 6층 (읍내동,장원빌딩)",702848
로드환경산업,20171109,운영중,,,,,,,,대구광역시 북구 노원동3가 459번지,대구광역시 북구 팔달북로18길 2 (노원동3가),
주식회사 한국이앤씨,20131106,운영중,20131202,,,,,,,대구광역시 서구 평리6동   567번지,대구광역시 서구 북비산로 165 (평리동),703834
(주)동양종합환경,20140916,운영중,20150203,,,,,,,대구광역시 남구 대명9동   646번지 19호,대구광역시 남구 대명남로 160 (대명동),705804
(주)테크월,20171228,운영중,,,,,,,,,"대구광역시 수성구 동대구로38안길 28, 2층 (범어동)",
(주)대영종합환경,20180810,운영중,,,,,,,,,대구광역시 남구 대명남로 160 (대명동),

