"years,month",finedust,J02,J04,J30,J45
"2010,01",57,610228,419358,784475,342766
"2010,02",49,543135,358226,667346,308543
"2010,03",64,763308,487656,780622,384260
"2010,04",51,920862,613531,814625,455360
"2010,05",59,741989,508748,728764,438177
"2010,06",52,604135,380424,511513,350226
"2010,07",36,526126,287655,424091,279617
"2010,08",36,463914,242699,424533,235170
"2010,09",32,740423,425990,1035268,333019
"2010,10",45,786751,522000,1054905,421862
"2010,11",73,740734,515069,860335,449575
"2010,12",63,871062,600298,821404,475070
"2011,01",45,687064,477173,700993,377145
"2011,02",72,557304,369164,628844,307021
"2011,03",65,745267,477992,833699,361630
"2011,04",59,699296,469973,795320,390413
"2011,05",75,663540,437039,723866,397203
"2011,06",49,556566,333886,511661,317515
"2011,07",34,498366,260421,429964,262668
"2011,08",32,509491,274936,564639,280529
"2011,09",33,705614,417806,1133245,386799
"2011,10",46,725834,463510,1023291,416577
"2011,11",46,701460,464738,860793,405801
"2011,12",50,790417,523343,1006467,399466
"2012,01",57,766646,497483,867631,377482
"2012,02",51,778006,501446,828208,372641
"2012,03",51,871052,542685,889814,382337
"2012,04",54,804744,533644,856663,391590
"2012,05",58,704323,467941,835661,366203
"2012,06",41,564336,315485,521657,255084
"2012,07",33,513609,249604,450526,215213
"2012,08",27,471718,246080,487828,212839
"2012,09",33,686414,403545,1124347,303420
"2012,10",40,713381,462335,1098190,356305
"2012,11",48,679530,446709,933006,361035
"2012,12",43,617343,403945,809040,311047
"2013,01",64,669999,444422,804341,302306
"2013,02",49,693102,453036,805143,310123
"2013,03",62,768209,505801,938106,344854
"2013,04",54,739306,501573,946932,343371
"2013,05",60,650696,417987,850030,309111
"2013,06",46,557815,294851,526999,228178
"2013,07",38,539714,254414,476611,196684
"2013,08",40,517267,258436,557812,194697
"2013,09",33,686916,395101,1183625,269269
"2013,10",36,692179,432010,1064128,313585
"2013,11",46,690581,446342,993040,316987
"2013,12",54,643717,416206,875734,288228
"2014,01",62,730971,471676,919937,286458
"2014,02",57,890516,553657,951831,315987
"2014,03",58,742144,471045,933436,304572
"2014,04",58,710420,473095,1005490,333154
"2014,05",67,628351,401959,814045,289135
"2014,06",45,520304,292388,550874,217133
"2014,07",41,548439,282675,549604,204561
"2014,08",32,491919,270597,634057,196783
"2014,09",34,638354,385043,1228197,255157
"2014,10",38,692090,440672,1116904,280801
"2014,11",47,763906,507779,1090235,313371
"2014,12",44,716793,479681,1012272,312452
"2015,01",52,637963,421919,854754,269037
"2015,02",75,676086,427198,837136,264919
"2015,03",68,791622,507805,1016554,296131
"2015,04",47,736498,486768,1011909,300124
"2015,05",50,623065,397807,876995,267682
"2015,06",43,477208,272706,561950,197361
"2015,07",34,417684,208607,511363,171122
"2015,08",37,476035,237854,600400,184696
"2015,09",30,667369,385331,1262040,242620
"2015,10",48,662456,418176,1115369,269442
"2015,11",36,659238,427367,988945,275202
"2015,12",50,728662,487199,1119745,317862
"2016,01",50,644724,452865,1008171,266618
"2016,02",47,735029,497105,963062,282366
"2016,03",60,737511,488045,1071904,291573
"2016,04",67,672396,471107,1107196,292856
"2016,05",54,593836,407117,908898,269417
"2016,06",42,533516,311204,641308,209679
"2016,07",30,525408,266718,594161,184387
"2016,08",34,477894,268462,684319,191128
"2016,09",37,554697,363380,1157895,232077
"2016,10",39,614701,425843,1155949,265038
"2016,11",53,660734,472636,1149102,294351
"2016,12",48,907716,633584,1204649,329856
"2017,01",52,578348,424247,882394,256159
"2017,02",47,497228,365801,866247,234246
"2017,03",59,653016,472829,1107598,270564
"2017,04",57,672188,500442,1154384,281354
"2017,05",62,585670,425343,990715,257833
"2017,06",42,505868,319371,712440,207655
"2017,07",35,495341,263408,595178,182643
"2017,08",26,487205,290561,772054,179798
"2017,09",37,630243,420073,1360055,224746
"2017,10",33,554398,370270,1060831,218080
"2017,11",48,679161,481028,1240055,267142
"2017,12",47,840743,586210,1312667,285994
"2018,01",50,809407,601640,1188038,281362
"2018,02",52,521837,375735,910980,212591
"2018,03",49,590645,426119,1085998,237755
"2018,04",56,636658,486317,1182740,264259
"2018,05",43,582583,438816,960983,251032
