사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,건축연면적,기념품종류명,기획여행보험시작일자,기획여행보험종료일자,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,시설규모,시설면적,안내소유무,영문상호명,의무실유무,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
프라임홀,19930910,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 대봉동 214번지,대구광역시 중구 명덕로 333 (대봉동),700811
대구 콘서트 하우스,20021231,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 태평로2가 1-1번지,대구광역시 중구 태평로 141 (태평로2가),700112
엔.에스.엘.문화예술원,20021231,폐업 등,20170109,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 화전동 23-15번지,대구광역시 중구 교동길 6 (화전동),700100
동아아트홀,20021231,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 덕산동 53-3번지,대구광역시 중구 달구벌대로 2085 (덕산동),700070
스페이스콩코드,20040720,폐업 등,20140416,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 화전동 11-1번지 지하1층,"대구광역시 중구 교동길 15, 지하1층 (화전동)",700100
봉산문화회관 가온홀,20040930,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 봉산동 125번지,대구광역시 중구 봉산문화길 77 (봉산동),700823
아회아트홀,20050506,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 940-4번지,대구광역시 중구 문우관길 47 (남산동),700440
문화예술전용극장 THE CITY,20070109,운영중,,,,,,문화시설,,,,,,공연장,공연장,,,,,,,,,,,,,중심상업지역,대구광역시 중구 남일동 109-2번지 지하1층,대구광역시 중구 중앙대로 394 (남일동),700060
하모니아아트홀1관,20070803,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 동성로3가 120-21번지,대구광역시 중구 동성로1길 29-29 (동성로3가),700093
송죽씨어터,20091202,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 화전동 11-1번지,대구광역시 중구 교동길 15 (화전동),700100
오월의정원 아트홀,20100406,폐업 등,20150630,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 문화동 11-1번지 대구시티센터,"대구광역시 중구 국채보상로 611 (문화동, 대구시티센터)",700160
아트플러스씨어터1관,20111207,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 공평동 16-11번지 지하 1층,대구광역시 중구 동성로3길 83 (공평동),700150
아트팩토리 청춘,20120719,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 대봉동 20-35번지 지하1층,대구광역시 중구 달구벌대로 2204 (대봉동),700809
뉴컴퍼니소극장,20120816,폐업 등,20161129,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 942-1번지 정안빌딩 502호,대구광역시 중구 관덕정길 10 (남산동),700832
떼아뜨로 중구,20121023,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 종로2가 52번지 지하1층,대구광역시 중구 종로 30 (종로2가),700192
수창홀,20130416,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 수창동 58-2번지,대구광역시 중구 달성로22길 31-12 (수창동),700850
예술극장 온,20130418,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 동인동2가 62-5번지 지하1층,대구광역시 중구 경상감영길 294 (동인동2가),700842
라이브소극장 락왕,20140408,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 2266-1번지 지하1층,"대구광역시 중구 명덕로 111 (남산동, 지하1층)",700836
근대로아리소극장,20140919,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 서문로1가 71-1번지,대구광역시 중구 경상감영길 32 (서문로1가),700251
골목실험극장,20170329,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2130-16번지,"대구광역시 남구 계명중앙1길 39-4, 1층 (대명동)",
아트센터 달,20160128,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,아파트지역,근린상업지역,대구광역시 수성구 매호동 1058-2번지,"대구광역시 수성구 천을로 173, 6층 (매호동)",
클럽헤비,20161104,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 1896-5번지,대구광역시 남구 현충로 244 (대명동),
김광석길 야외콘서트홀,20161028,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 대봉동 6-5번지,,
동성로 야외무대,20161104,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 동성로2가 165-1번지,,
다향 아트홀,20170210,폐업 등,20180405,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 동구 신천동 483-18번지 (지하1층),"대구광역시 동구 효신로 21 (신천동, 지하1층)",
더제이댄스센터,20180514,운영중,,,,,,근린생활시설,,,,,,공연장,공연장,,,,,,,,,,,,기타,일반주거지역,대구광역시 수성구 신매동 367-3번지,"대구광역시 수성구 달구벌대로 3207, 성진빌딩 5층 (신매동)",
더제이댄스센터 2관,20180521,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 466번지 4층,"대구광역시 중구 달구벌대로414길 6, 4층 (남산동)",
더제이댄스센터 1관,20180521,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 중구 남산동 466번지 3층,"대구광역시 중구 달구벌대로414길 6, 3층 (남산동)",
창작공간기차,20180615,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2151-22번지 지하1층,"대구광역시 남구 양지로 114, 지하1층 (대명동)",
소극장 길,20170113,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 2132-4번지,대구광역시 남구 명덕로22길 27 (대명동),
공연예술보호구역 아트벙커,20170217,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 남구 대명동 1892-52번지,대구광역시 남구 현충로 262 (대명동),
대구문화예술회관 팔공홀,20021122,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 성당동 187번지,대구광역시 달서구 공원순환로 201 (성당동),704915
대구문화예술회관 비슬홀,20021122,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 성당동 187번지,"대구광역시 달서구 공원순환로 201 (성당동, 대구광역시 문화예술회관)",704915
대구문화예술회관 야외공연장,20021122,폐업 등,20080630,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 성당동 187번지,대구광역시 달서구 공원순환로 201  (성당동),704915
코오롱 야외음악당,20021122,운영중,,,,,,,,,,,,공연장,공연장,,,,,,,,,,,,,,대구광역시 달서구 두류동 588번지,"대구광역시 달서구 공원순환로 46 (두류동, 코오롱야외음악당)",704910
