구군분류,음식분류,업소명,전화번호,영업시간,좌석수,주차장,홈페이지,가능 외국어,예약여부,유아시설,죄식유무,후식유무,메뉴,간단설명,지하철,버스
수성구,한식,윤옥연할매떡볶이,053-756-7597,10:00 - 22:00,32석,4대외 노상주차,없음,영어 기타 (),"전화주문 가능,자리예약불가",불가능,불가능,불가능,"떡볶이 1,000원  만두 1,000원오뎅 1,000원  김밥 2,000원라면 3,000원  순대 3,000원팥빙수 3,000원(포장 3,500원)  쿨피스 1,500",대구특미음식 [매운떡볶이]선정 업체대구에서 한때 `신천할매떡볶이`로 불리우던 이곳은 대구 매운 떡볶이의 원조로 통한다. 신천시장에서 1976년 시작하여 벌써 30년이 넘도록 떡볶이를 만들었다.,지하철 2호선 대구은행역 1번 출구 약 810m,버스 정류장은 `수성4가동주민센터앞` 정류장이 가장 가깝습니다.
수성구,한식,만미장,053-765-0063,10:00 ~ 22:00,136석(룸2개),100,없음,기타 (),가능,불가능,불가능,가능,"물냉면 8,000원  비빔냉면 8,000원회냉면 9,000원  사리추가 3,500원갈비찜 15,000원(200g)  불고기 15,000원(200g)갈비탕 8,000원  기타 수육 물만두 불낙전골 만두전골 등","수성구에 위치한 대표적인 냉면 전문점으로 예전 두산오거리에 있던 [고려정]을 확장 이전 했습니다.1층과 2층으로 구성되어 있으며, 넓은 주차장이 갖추어져 있습니다.",지하철 3호선 지하철 지산역 1번 출구 약 800m,버스 정류장은 `대구지방경찰청` 정류장이 가장 가깝습니다.
달서구,한식,편대장영화식당,053-522-2655,10:00 ~ 22:00,180석(룸11),30,www.pdj.co.kr,영어 일본어 기타 (),가능,불가능,불가능,가능,"육회(170g) 23,000원  명품스페셜(100g) 35,000원소금구이(100g)  27,000원 주물럭(170g)    19,000원육회비빔밥  19,000원  한우특갈비탕 12,000원소고기찌개 9,000원 육회냉면 9,000원",육회 하나로 전국의 입맛 “중독시키다” 50년 역사와 전통을 자랑하는 진미일가(眞味一家),주변에 지하철이 없습니다. 가장 가까운 지하철은 2호선 계명대역 3번 출구 약 1.3km,버스는 삼성물류센터앞 정류장이 가장 가깝습니다.
남구,한식,무상육회전문점(본점),053-521-7676,17:00 - 01:00,35석,10,www.moosang.co.kr,영어 기타 (),가능,불가능,불가능,가능,"생고기(뭉티기) 25,000원 ~ 43,000원  새싹육회 22,000원육회비빔밥 9,000원  한우불고기전골 25,000원등골 20,000원  간.천엽 15,000원","소고기 특유의 잡내를 완전히 잡았으며, 한우전문기업 대송유통에서 매일 새로운 한우를 공급하여 신선하고 차별화 된 맛을 제공합니다.",지하철 1호선 안지랑역 3번출구 약 280m,버스 정류장은 `안지랑네거리1 ` 정류장이 가장 가깝습니다
북구,한식,거산이가네더덕밥,053-985-9045,11:00 ~ 22:00,350석(룸20),80대,www.egane.co.kr,영어 기타 (),가능,불가능,불가능,가능,"[평일특선] 더덕구이정식/더덕불고기정식/더덕육회정식 15,000원일품정식 20,000원  진품정식 35,000원명품정식 50,000원",이가네 더덕밥은 더덕요리 전문점으로 각종 더덕요리와 품질 좋은 한우고기를 드실 수 있습니다.,주변에 지하철이 없습니다.,버스 정류장은 `이곡마을` 정류장이 가장 가깝습니다.
달서구,한식,석정한우마을,053-636-6000,10:00 - 23:00,150석,50,없음,중국어<BR>기타 (),가능,불가능,불가능,가능,"살치살/ 본살(100g) 25,000원 안창살(100g) 27,000원한우갈비살 (100g) 19,000원  한우양념갈비살(100g) 13,000원","대구 신개발한 도심을 중심으로 자리메김하고 있는 ""한우마을 석정가든""은 단지 한우고기의 맛뿐만 아니라, 주인이 직접 된장을 만들고 발효된 효소음식으로 한층 더 알려진 유명한 업소.",지하철 1호선 월배역 4번 출구 약 730m,버스 정류장은 `태왕아너스베스트앞` 정류장이 가장 가깝습니다.
수성구,한식,"푸주옥-도가니탕, 설렁탕전문",053-761-6804,24시간,120석(룸2),50,없음,영어 기타 (),가능,불가능,가능,가능,"설렁탕 9,000원  특설렁탕 12,000원내장특곰탕 14,000원  무릎도가니탕 17,000원꼬리곰탕 18,000원  모듬수육/꼬리수육/도가니수육 (소) 35,000원 (대) 50,000원여름계절메뉴  물냉면/비빔냉면 7,000원","""음식과 약은 그 뿌리가 같다"" 는 생각으로 14시간 이상 진심으로 푹 고아낸 진한 국물 맛과 푸짐한 양이 저희 업소의 자랑입니다.",지하철 3호선 어린이회관역 1번 출구 약 500m,버스 정류장은 `범성학원` 정류장이 가장 가깝습니다.
수성구,한식,삼수장어 수성점,053-745-7800,10:00 ~ 22:00,100석(룸8),40대,www.samsoo.co.kr,영어 기타 (),가능,불가능,불가능,가능,"명품정식(4인) 20,4000원  삼수명품(1kg) 180,000원산삼장어(1kg) 194,000원  한방꿈의장어(1kg) 166,000원장어덮밥정식 15,000원  장녹수탕 8,000원콩나물밥 5,000원  소면 5,000원장어정식(런치) 20,000원",신천강변에 위치하고 있는 (신천동로변에 있습니다.) 삼수장어 수성점 입니다.,지하철 2호선 대구은행역 1번 출구 약 590m,버스 정류장은 `화성쌍용타운 건너` 정류장이 가장 가깝습니다.
달서구,한식,춘향골남원추어탕,053-581-6889,10:00 ~ 22:00,150석(룸 6),30대,없음,기타 (),가능,불가능,불가능,가능,"남원추어탕 8,000원 통추어탕 10,000원숙회 25,000원 ~ 39,000원 전골 25,000원 ~ 39,000원튀김 12,000원 ~ 23,000원 추어파전 10,000원어린이돈까스 6,000원","춘향골남원추어탕은 추어탕 전문점으로 추어탕 및 고소하고 바삭한 맛있는 튀김과 얼큰하고 시원한 전골, 구수하고 담백한 숙회 등도 많은 사람들이 찾는 음식입니다.",주변에 지하철이 없습니다. 가장 가까운 지하철은 2호선 계명대역 3번 출구 약 1.6km,버스 정류장은 `모다아울렛앞` 정류장이 가장 가깝습니다.
수성구,한식,안영감식육식당,053-784-9934,11:00 ~ 24:00,120석,공용주차장 이용,없음,기타 (),가능,불가능,불가능,불가능,"한우한마리(100g) 9,500원  한우갈비살특수부위(100g) 14,500원한우육회(100g) 9,500원  한우국거리 20,000원곰탕 10,000원  한우옛날불고기(600g) 18,000원비빔물얼큰냉면 7,000원  육개장 6,000원","- A++최고급 한우 사용 - 식육식당/상차림 3,000원 별도- 한우특수부위를 골고루 선택해서 먹을 수 있다.",지하철 3호선 용지역 2번 출구 약 620m,버스 정류장은 `범물두성타운건너` 정류장이 가장 가깝습니다.
