사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물소유구분명,년도,다중이용업소여부,발한실여부,욕실수,위생업종명,위생업태명,정제지번주소,정제도로명주소,정제우편번호
향촌하와이사우나,20040304,운영중,,,,,792.00,임대,2004,N,N,0,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 중구 향촌동 0063번지 대보백화점3층,"대구광역시 중구 경상감영길 117-7, 3층 (향촌동)",700020
갤러리 휘트니스존,20050914,폐업 등,20161212,,,,678.55,임대,2005,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 중구 삼덕동1가 0015-0001번지 4층,"대구광역시 중구 동성로3길 35, 4층 (삼덕동1가)",700411
태평사우나,20030226,운영중,,,,,1980.00,임대,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 중구 태평로1가 0001-0187번지,대구광역시 중구 태평로 177 (태평로1가),700111
그린빌사우나,20080225,운영중,,,,,2025.33,자가,2008,N,Y,10,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 중구 남산동 0665번지,대구광역시 중구 중앙대로67길 10 (남산동),700440
휴림원,20080903,운영중,,,,,2294.16,,2008,Y,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달성군 다사읍 죽곡리 209번지,대구광역시 달성군 다사읍 죽곡1길 16-6,711815
홍천사우나찜질방,20040520,운영중,,,,,636.00,자가,2004,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 성당동 54-16번지,대구광역시 달서구 파도고개로1길 5 (성당동),704080
두류스포렉스,19970721,운영중,,,,,796.80,자가,1997,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 감삼동 206-75번지,"대구광역시 달서구 당산로 83, 1~3층 (감삼동)",704904
상인워터피아,20030825,폐업 등,20101119,,,,629.00,,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 상인동 1470-1번지,,704817
(주)건도파라다이스사우나,20030723,폐업 등,20100302,,,,2576.88,자가,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,"대구광역시 달서구 월성동 275-2번지 (지하2,3층)",,704828
월성사우나,19970619,운영중,,,,,752.60,,1997,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 송현동 578-1번지 외1필지,"대구광역시 달서구 월배로75길 63, 1~3층 (송현동)",704825
황소25시구들방사우나,20040514,폐업 등,20161017,,,,2328.98,자가,2004,N,Y,,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 이곡동 1244번지,대구광역시 달서구 성서로 420 (이곡동),704928
(주)미광스포렉스,20030224,운영중,,,,,3951.90,자가,2003,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 이곡동 1250-14번지,대구광역시 달서구 이곡동로 55 (이곡동),704928
온천 엘리바덴,20110812,운영중,,,,,5151.77,자가,2011,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 상인동 1558번지 엘리바덴나성,대구광역시 달서구 상인서로 8-6 (상인동),704816
수목원생활온천,20070904,운영중,,,,,3372.10,자가,2007,N,Y,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 진천동 446번지 외2필지,"대구광역시 달서구 상화로 79 (진천동,외2필지)",704837
"보보스사우나,찜질",20030801,폐업 등,20100315,,,,2084.71,임대,2003,N,N,2,목욕장업,공동탕업+찜질시설서비스영업,대구광역시 달서구 이곡동 1246번지,,704928
