사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,소방시설여부,시설면적,음향시설여부,자동환기여부,제작취급품목내용,조명시설유무,조명시설조도정보,주변환경명,지역구분명,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
폭스 DVD 영화관,20061229,운영중,,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,217.35,,,,,,,일반상업지역,,,,,,,대구광역시 수성구 신매동 568-9번지 (지하),"대구광역시 수성구 신매로19길 23-3 (신매동,(지하))",
시지 스카이 영화관,20070111,폐업 등,20150428,,,,,근린생활시설,,,비디오물감상실업,,자동,,,,214.38,,,,,,,,,,1.3,,,,대구광역시 수성구 신매동 567-19번지,대구광역시 수성구 신매로19길 30 (신매동),
레드캣츠 DVD 영화관,20071011,폐업 등,20120926,,,,,근린생활시설,,유통관련업,비디오물감상실업,,,,,,126.85,,,,,,학교정화(절대),일반상업지역,,,,,,,대구광역시 수성구 지산동 1288-12번지 4층,"대구광역시 수성구 용학로 293-10  (지산동,4층)",706839
애플DVD,20081119,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,238.44,,,,,,,일반상업지역,,,,,,,대구광역시 수성구 지산동 1288-13번지,대구광역시 수성구 용학로 293-12 (지산동),
부성,19960909,폐업 등,20100114,,,,,,,유통관련업,비디오물감상실업,,자동,,,,247,,,,,,,,,,,,,,대구광역시 서구 원대동3가 1431-8번지,대구광역시 서구 달서로 258  (원대동3가),703851
준,19960909,폐업 등,20070426,,,,,,,유통관련업,비디오물감상실업,,자동,,,,114,,,,,,,,,,,,,,대구광역시 서구 내당동 937-2번지,대구광역시 서구 평리로 436  (내당동),703807
영,19960909,폐업 등,20041011,,,,,,,유통관련업,비디오물감상실업,,자동,,,,160,,,,,,,,,,,,,,대구광역시 서구 비산동 882-8번지,대구광역시 서구 서대구로 294  (비산동),703819
디지털영화관,19960909,운영중,,,,,,,,,비디오물감상실업,,자동,,,,120,,,,,,,,,,,,,,대구광역시 서구 평리동 1334-11번지,대구광역시 서구 국채보상로 244 (평리동),
샵 비디오 영화감상실,20070801,운영중,,,,,,근린생활시설,,,비디오물감상실업,,,,,,166.08,,,,,,주택가주변,상업지역,,,,,,,대구광역시 서구 비산동 882-8번지,대구광역시 서구 서대구로 294 (비산동),
DVD 이야기,19990615,휴업 등,,20171229,20181229,,,근린생활시설,,,비디오물감상실업,,자동,,,,85.12,,,,,,기타,일반주거지역,,,,,,,대구광역시 북구 산격동 1393-23번지,대구광역시 북구 산격로6길 29-2 (산격동),
