사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건물용도명,공연장형태구분명,문화사업자구분명,문화체육업종명,방음시설여부,비디오재생기명,비상계단여부,비상구여부,시설면적,음향시설여부,자동환기여부,조명시설유무,주변환경명,지역구분명,청소년실수,청소년실여부,최초등록시점,통로너비,특수조명여부,편의시설여부,품목명,정제지번주소,정제도로명주소,정제우편번호
마루기획,20180813,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20180813,,,,,대구광역시 달성군 가창면 용계리 12-9번지,대구광역시 달성군 가창면 가창로 1110,
(주)메가박스 이시아점,20180731,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20180731,,,,,대구광역시 동구 봉무동 1548번지,"대구광역시 동구 팔공로49길 51, 2층 (봉무동)",
대구시네파크,20011221,폐업 등,20110525,,,,,,,,영화상영업,,,,,,,,,,,,,20011221,,,,,대구광역시 달서구 본동 1117번지,,
대구광역시청소년수련원,20030421,폐업 등,20150205,,,,,,,,영화상영업,,,,,,,,,,,,,20030421,,,,,대구광역시 달서구 송현동 702번지,대구광역시 달서구 앞산순환로 180 (송현동),
씨네타워,20040427,폐업 등,20131023,,,,,,,,영화상영업,,,,,,,,,,,,,20040427,,,,,대구광역시 달서구 두류동 산 302-11번지,대구광역시 달서구 두류공원로 200  (두류동),
진필름,20040909,폐업 등,20121114,,,,,,,,영화상영업,,,,,,,,,,,,,20040909,,,,,대구광역시 달서구 본동 764-2번지,대구광역시 달서구 구마로 106 (본동),
동서문화사,20001109,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20001109,,,,,대구광역시 북구 서변동 1000-3번지,대구광역시 북구 서변로3길 71 (서변동),
동아아트홀,20030424,폐업 등,20150127,,,,,,,,영화상영업,,,,,,,,,,,,,20030424,,,,,대구광역시 북구 읍내동 1343-6번지,대구광역시 북구 칠곡중앙대로 416 (읍내동),
대구광역시 북구 어울아트센터,20030609,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20030609,,,,,대구광역시 북구 관음동 1372번지,대구광역시 북구 구암로 47 (관음동),
(주)대구시네마,20060706,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20060706,,,,,대구광역시 북구 칠성동2가 42-9번지 진성빌딩5층,"대구광역시 북구 호암로 6 (칠성동2가, 진성빌딩5층)",702851
(주)도시피디 세븐밸리(지점),20070911,폐업 등,20150813,,,,,,,,영화상영업,,,,,,,,,,,,,20070911,,,,,대구광역시 북구 동천동 894-1번지,대구광역시 북구 동암로 90 (동천동),
미오시네마,20090413,폐업 등,20110804,,,,,,,,영화상영업,,,,,,,,,,,,,20090413,,,,,대구광역시 북구 구암동 769-2번지,,
메가박스 칠곡점,20090805,폐업 등,20150707,,,,,,,,영화상영업,,,,,,,,,,,,,20090805,,,,,대구광역시 북구 동천동 895-2번지,대구광역시 북구 동암로 100 (동천동),
주식회사 지원이엔씨,20130708,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,20130708,,,,,대구광역시 북구 구암동 769-1번지,대구광역시 북구 학정로 422 (구암동),
롯데시네마 프리미엄 만경(주식회사 지원엠케이),19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 종로1가 29-4번지,대구광역시 중구 국채보상로 547 (종로1가),
(주)아카데미시네마,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 남일동 65-1번지,대구광역시 중구 중앙대로 412 (남일동),
명보극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 용덕동 5-9번지,대구광역시 중구 동성로 80-11 (용덕동),700120
(주)경덕,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 전동 1번지,,
(주)자유극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 화전동 14번지,,700100
동성아트홀,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 동성로1가 22-1번지,대구광역시 중구 동성로 69 (동성로1가),
서울극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 화전동 41-1번지,대구광역시 중구 중앙대로 442-9 (화전동),
명동극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 화전동 41-1번지,대구광역시 중구 중앙대로 442-9 (화전동),
코스모스극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 동성로1가 9-1번지,대구광역시 중구 동성로 76 (동성로1가),
자유극장 2관,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 공평동 56-1번지,대구광역시 중구 동성로3길 59 (공평동),
(주)대구백화점,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 대봉동 214번지,대구광역시 중구 명덕로 333 (대봉동),
뉴코리아극장,19990810,운영중,,,,,,,,,영화상영업,,,,,,,,,,,,,19990810,,,,,대구광역시 중구 화전동 23-15번지,대구광역시 중구 교동길 6 (화전동),
