사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,정제지번주소,정제도로명주소,정제우편번호,입소정원,자격소유인원수,총인원수
아담놀이방,19910716,운영중,,,,,,대구광역시 중구 시장북로 51번지,,,10,0,1
동원어린이집,19940519,운영중,,,,,,대구광역시 중구 달성동 123-2번지,,,131,0,0
까치어린이집,19940507,운영중,,,,,,대구광역시 중구 남산동 2482번지,,,36,0,0
개구장이어린이집,19950303,운영중,,,,,,대구광역시 중구 대신동 290-1번지,,,34,0,0
삼육어린이집,19950111,운영중,,,,,,대구광역시 중구 대봉동 170-2번지,,,30,0,30
동화마을 어린이집,19960306,운영중,,,,,,대구광역시 중구 동인동2가 290-1번지,,,131,10,14
둘리놀이방,19961206,운영중,,,,,,대구광역시 중구 대신동 876번지,,,19,0,0
새싹어린이집,19960111,운영중,,,,,,대구광역시 중구 교동 46-10번지,,,36,0,0
다람어린이집,19971004,운영중,,,,,,대구광역시 중구 대봉동 31-23번지,,,59,0,0
동산의료원어린이집,19970509,운영중,,,,,,대구광역시 중구 동산동 194번지,,,34,0,0
대구시청어린이집,19970205,운영중,,,,,,대구광역시 중구 동인동1가 229번지,,,40,0,0
대구삼성어린이집,19980310,운영중,,,,,,대구광역시 중구 남산동 153-4번지,,,118,0,0
비둘기어린이집,19980305,운영중,,,,,,대구광역시 중구 남산동 783-11번지,,,80,0,0
대봉어린이집,19990803,운영중,,,,,,대구광역시 중구 대봉동 152-15번지,,,25,0,0
아담놀이방(동화나라),19990420,운영중,,,,,,대구광역시 중구 시장북로 51-2번지,,,15,0,0
리라어린이집,20000629,운영중,,,,,,대구광역시 중구 남산동,,,21,0,0
남산교회어린이집,20000325,운영중,,,,,,대구광역시 중구 남산동 941-22번지,,,71,0,0
백합어린이집,20000323,운영중,,,,,,대구광역시 중구 남산동 190-1번지,,,218,0,0
남산3동어린이집,20000317,운영중,,,,,,대구광역시 중구 남산동 2208-37번지,,,28,0,0
좋은아이놀이방,20010810,운영중,,,,,,대구광역시 중구 동인동3가 206-6번지,,,20,2,2
MOM어린이집,20010525,운영중,,,,,,대구광역시 중구 대봉동 28-7번지,,,33,0,1
삼덕놀이방,20010522,운영중,,,,,,대구광역시 중구 삼덕동3가 241-3번지,,,17,0,1
엔젤놀이방,20011228,운영중,,,,,,대구광역시 중구 남산동 2121-16번지,,,20,2,2
꿈나무어린이집,20040210,운영중,,,,,,대구광역시 중구 남산동 2508-2번지,,,78,10,10
동부여성문화회관어린이집,20000901,운영중,,,,,,대구광역시 동구 신암동 664-21번지,,,45,0,0
들마을어린이집,20100419,운영중,,,,,,대구광역시 서구 평리동,,,0,,
노벨어린이집,19971112,운영중,,,,,,대구광역시 남구 대명동 1000-1번지,,,94,7,8
상록새마을유아원,19770507,운영중,,,,,,대구광역시 남구 대명동 2295-49번지,,,0,0,0
새동화나라놀이방,19940531,운영중,,,,,,대구광역시 남구 대명동 1220-62번지,,,0,0,0

