사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,객실수,건물용도명,건축연면적,기념품종류명,놀이기구수내역,놀이시설수,무대면적,문화사업자구분명,문화체육업종명,발전시설유무,방송시설유무,보험기관명,보험시작일자,보험종료일자,부대시설내역,시설규모,시설면적,안내소유무,영문상호명,의무실유무,자본금,제작취급품목내용,좌석수,주변환경명,지역구분명,정제지번주소,정제도로명주소,정제우편번호
정글나라,20160721,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 칠성동2가 20-1번지,"대구광역시 북구 침산로 93 (칠성동2가, 스펙트럼시티)",
야사노,20160831,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 동구 율하동 1117번지 롯데쇼핑프라자 지하1층,"대구광역시 동구 안심로 80, 롯데쇼핑프라자 지하1층 (율하동)",
모찌게임랜드,20160907,폐업 등,20180103,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 상인동 240-3번지,대구광역시 달서구 월곡로 253 (상인동),
코만도,20161116,폐업 등,20180517,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 수성구 신매동 568-6번지,대구광역시 수성구 고산로18길 21 (신매동),
로프로프 키즈카페,20170424,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 구암동 653-2번지,"대구광역시 북구 구암로32길 6-20, 3층 (구암동)",
너티차일드 대구점,20170425,운영중,,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 침산동 105-2번지,"대구광역시 북구 호암로 51, 파크몰 B동 2층 (침산동, 대구삼성창조경제단지)",
펀앤펀,20160614,폐업 등,20171228,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 신당동 1721-10번지,대구광역시 달서구 서당로9길 29 (신당동),
대구광역시 시설관리공단,20160718,폐업 등,20160912,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 중구 대봉동 655-1 (생활체육광장내),,
아이마밍,20160905,운영중,,,,,,,,,,붕붕뜀틀 1대,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 달서구 본리동 306-5번지,"대구광역시 달서구 구마로 131, 2층 (본리동)",
해피토이,20160812,폐업 등,20171229,,,,,,,,,,,,,신고유원시설업,,,,,,,,,,,,,,,,,대구광역시 북구 동천동 902-2번지 102호,"대구광역시 북구 동천로 127, 1층 102호 (동천동, 호수빌딩)",
