"읍면별(1)","구분별(1)",구분별(2),2014,2015,2016
"합계","배출업소 (개소)",소계,694,742,781
"합계","단속업소 (개소)",소계,403,439,436
"합계","위반업소 (개소)",소계,14,16,25
"합계","행정처분내역 (건)",경 고,7,6,11
"합계","행정처분내역 (건)",개선명령,3,3,7
"합계","행정처분내역 (건)",조업정지,2,5,6
"합계","행정처분내역 (건)",사용금지,-,1,-
"합계","행정처분내역 (건)",허가취소,-,-,-
"합계","행정처분내역 (건)",폐쇄명령,-,-,-
"합계","행정처분내역 (건)",순수고발,2,-,1
"합계","행정처분내역 (건)",기 타,-,1,-
"합계","병과고발 (건)",소계,1,5,5
"합계","병행 (건)",소계,-,-,-
"화원","배출업소 (개소)",소계,24,-,-
"화원","단속업소 (개소)",소계,7,-,-
"화원","위반업소 (개소)",소계,-,-,-
"화원","행정처분내역 (건)",경 고,-,-,-
"화원","행정처분내역 (건)",개선명령,-,-,-
"화원","행정처분내역 (건)",조업정지,-,-,-
"화원","행정처분내역 (건)",사용금지,-,-,-
"화원","행정처분내역 (건)",허가취소,-,-,-
"화원","행정처분내역 (건)",폐쇄명령,-,-,-
"화원","행정처분내역 (건)",순수고발,-,-,-
"화원","행정처분내역 (건)",기 타,-,-,-
"화원","병과고발 (건)",소계,-,-,-
"화원","병행 (건)",소계,-,-,-
"논공","배출업소 (개소)",소계,330,-,-
"논공","단속업소 (개소)",소계,206,-,-
"논공","위반업소 (개소)",소계,8,-,-
"논공","행정처분내역 (건)",경 고,5,-,-
"논공","행정처분내역 (건)",개선명령,-,-,-
"논공","행정처분내역 (건)",조업정지,2,-,-
"논공","행정처분내역 (건)",사용금지,-,-,-
"논공","행정처분내역 (건)",허가취소,-,-,-
"논공","행정처분내역 (건)",폐쇄명령,-,-,-
"논공","행정처분내역 (건)",순수고발,1,-,-
"논공","행정처분내역 (건)",기 타,-,-,-
"논공","병과고발 (건)",소계,1,-,-
"논공","병행 (건)",소계,-,-,-
"다사","배출업소 (개소)",소계,77,-,-
"다사","단속업소 (개소)",소계,47,-,-
"다사","위반업소 (개소)",소계,-,-,-
"다사","행정처분내역 (건)",경 고,-,-,-
"다사","행정처분내역 (건)",개선명령,-,-,-
"다사","행정처분내역 (건)",조업정지,-,-,-
"다사","행정처분내역 (건)",사용금지,-,-,-
"다사","행정처분내역 (건)",허가취소,-,-,-
"다사","행정처분내역 (건)",폐쇄명령,-,-,-
"다사","행정처분내역 (건)",순수고발,-,-,-
"다사","행정처분내역 (건)",기 타,-,-,-
"다사","병과고발 (건)",소계,-,-,-
"다사","병행 (건)",소계,-,-,-
